;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;8666;88;751;489;415;2434;7,9;16,19;15,02;160,88;141,66;52,62;183,74;01:38:39;1,63;1,85;5,64;4,79;28,08;8,67;48,17;48;159,67;133,92;0,17;133,92;1542,62;43,19;25,71;46,76;00:02:07;52,62;00:01:01;00:00:02;00:09:58;00:00:45;00:01:01;00:01:13;00:03:38;00:03:09;
BIANCU;8809;89;495;482;421;2258;8,02;16,04;16,42;145,35;144,24;51,24;188,06;01:38:39;1,64;1,65;5,47;4,78;25,63;5,62;56;42;140;130;0;130;1439,47;40,86;27,09;47,47;00:01:24;51,24;00:00:57;00:00:02;00:09:28;00:00:45;00:00:57;00:01:00;00:03:21;00:02:55;
BRIGNANI;9105;92;1243;470;377;2762;8,18;14,49;0;152,94;124,68;49,74;169,32;01:38:39;1,37;1,68;5,16;4,14;30,33;13,66;49;54;151;130;0;130;1654,2;44,05;23,89;48,41;00:03:30;49,74;00:00:55;00:00:00;00:10:48;00:00:42;00:00:55;00:01:14;00:03:37;00:03:04;
CHIERICO;9065;92;884;480;368;2561;8,13;14,32;1,12;159,12;114,27;50,28;151,67;01:38:39;1,26;1,76;5,29;4,06;28,26;9,75;31;50;157;116;0;116;1577,91;42,71;24,32;48,13;00:02:29;50,28;00:00:54;00:00:00;00:10:19;00:00:38;00:00:54;00:01:16;00:03:43;00:03:05;
DEMARCUS ;8782;89;868;400;275;2247;7,68;11,47;0;103,39;71,26;50,46;111,4;01:38:39;0,81;1,18;4,55;3,13;25,59;9,89;17;26;124;78;0;78;1387,52;38,36;23,66;45,46;00:02:27;50,46;00:00:38;00:00:00;00:09:04;00:00:27;00:00:38;00:00:52;00:03:11;00:02:24;
EMERSON;7999;81;932;422;329;2136;7,16;14,09;2,56;121,21;101,39;56,4;140,74;01:38:39;1,27;1,52;5,27;4,12;26,71;11,66;34;34;144;100;0;100;1300,56;40,03;25,01;42,38;00:02:36;56,4;00:00:51;00:00:00;00:08:25;00:00:33;00:00:51;00:00:59;00:03:29;00:02:49;
LELLA ;8933;91;741;575;516;2561;8,36;19,3;37,93;233,25;194,6;51,02;244,88;01:38:39;2,18;2,61;6,44;5,78;28,67;8,3;73;70;196;176;2;176;1769,91;45,23;25,9;49,49;00:02:06;51,02;00:01:22;00:00:05;00:10:34;00:01:02;00:01:22;00:01:40;00:04:08;00:03:45;
MANCINI;8738;89;552;471;426;2564;7,93;15,68;13,01;140,43;133,13;54,14;171,84;01:38:39;1,52;1,61;5,39;4,87;29,34;6,32;38;41;156;129;0;129;1854,09;44,92;27,14;46,94;00:01:34;54,14;00:00:54;00:00:01;00:10:32;00:00:42;00:00:54;00:01:03;00:03:24;00:03:07;
OCCHIONI;8756;89;582;508;497;2466;8,06;17,39;20,48;168,76;172,78;52,25;183,28;01:38:39;1,97;1,93;5,8;5,68;28,16;6,65;62;49;181;179;0;179;1546,95;43,59;25,79;47,73;00:01:39;52,25;00:01:15;00:00:02;00:10:28;00:00:44;00:01:15;00:01:15;00:03:43;00:03:39;
PALESI;8046;82;614;465;394;2308;7,39;17,01;4,65;160,8;149,85;56,81;165,67;01:38:39;1,86;2;5,78;4,9;28,68;7,63;50;57;171;145;0;145;1507,85;44,36;26,43;43,72;00:01:45;56,81;00:01:02;00:00:00;00:09:36;00:00:42;00:01:02;00:01:13;00:03:24;00:02:52;
PINNA S.;8932;91;533;584;515;2500;8,38;19,66;47,43;209,73;196,09;50,03;268,3;01:38:39;2,2;2,35;6,54;5,77;27,99;5,97;72;44;178;156;0;156;1716,55;44,81;27,61;49,63;00:01:29;50,03;00:01:25;00:00:06;00:10:31;00:01:03;00:01:25;00:01:33;00:04:14;00:03:49;
RENAULT ;8479;86;972;534;453;2603;7,86;18,16;27,33;169,78;165,84;54,47;222,25;01:38:39;1,96;2;6,29;5,35;30,7;11,47;58;58;173;147;0;147;1410,93;46,73;24,94;46,53;00:02:41;54,47;00:01:07;00:00:03;00:10:29;00:00:53;00:01:07;00:01:13;00:03:51;00:03:14;
TRAVAGLINI;8353;85;591;478;414;2248;7,64;16,66;9,26;165,86;131,8;54,59;187,41;01:38:39;1,58;1,99;5,72;4,96;26,91;7,08;38;51;145;121;0;121;1345,51;42,56;26,72;45,25;00:01:39;54,59;00:00:57;00:00:01;00:09:28;00:00:45;00:00:57;00:01:12;00:03:32;00:03:06;
