;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;697;101;43;25;22;93;8,6;10,37;0,67;7,57;5,81;36,95;9,31;00:06:54;0,84;1,1;3,65;3,1;13,32;6,11;1,92;1,92;9,31;7,23;0;7,23;37,38;23,35;22,93;3,57;00:00:07;36,95;00:00:02;00:00:00;00:00:24;00:00:02;00:00:02;00:00:03;00:00:13;00:00:11;
ARBOLEDA;739;99;42;29;23;107;8,48;10,92;0;9,63;7,68;39,66;10,62;00:07:28;1,04;1,3;3,93;3,12;14,43;5,69;3;3;13;10;0;10;42,59;25,55;22,27;3,81;00:00:07;39,66;00:00:04;00:00:00;00:00:28;00:00:02;00:00:04;00:00:04;00:00:15;00:00:13;
BIANCU;687;99;36;22;17;78;8,35;8,41;0;6,48;3,7;36,86;5,71;00:06:54;0,54;0,94;3,14;2,48;11,41;5,19;1;3;8;8;0;8;40,41;20,47;21,54;3,46;00:00:06;36,86;00:00:02;00:00:00;00:00:20;00:00:01;00:00:02;00:00:03;00:00:11;00:00:10;
BOCCIA;728;106;62;34;26;111;9,26;13,35;0,42;11,64;9,47;34,39;14,51;00:06:54;1,3;1,6;4,69;3,63;15,28;8,47;4;3;13;10;0;10;25,08;27,5;24,03;3,83;00:00:09;34,39;00:00:04;00:00:00;00:00:29;00:00:03;00:00:04;00:00:04;00:00:15;00:00:13;
BRIGNANI;752;114;71;29;28;113;9,7;10,39;1,11;6,82;5,64;32,26;11,75;00:06:37;0,75;0,91;3,8;3,77;15,03;9,42;2;3;12;7;0;7;26,49;24,89;24,09;3,86;00:00:11;32,26;00:00:02;00:00:00;00:00:28;00:00:02;00:00:02;00:00:03;00:00:14;00:00:13;
CHIERICO;629;91;53;29;26;89;8,02;13,75;3,08;8,2;7,3;44,64;14,38;00:06:54;1,16;1,3;4,6;4,07;14,16;8,44;2;0;10;8;0;8;30,91;25,5;24,43;3,32;00:00:08;44,64;00:00:03;00:00:00;00:00:23;00:00:03;00:00:03;00:00:04;00:00:15;00:00:14;
EMERSON;734;106;54;23;25;93;8,99;9,2;0;4,2;6,56;33,44;3,95;00:06:54;0,89;0,57;3,17;3,36;12,65;7,41;2;0;6;8;0;8;29,03;21,1;23,96;3,72;00:00:08;33,44;00:00:03;00:00:00;00:00:23;00:00:00;00:00:03;00:00:02;00:00:13;00:00:12;
LA ROSA ;718;104;0;14;13;76;8,52;5,89;0;2,51;2,37;34,28;0;00:06:54;0,33;0,35;2;1,78;10,64;0,06;0;0;6;2;0;2;46,52;16,55;19,04;3,53;00:00:00;34,28;00:00:01;00:00:00;00:00:22;00:00:00;00:00:01;00:00:01;00:00:09;00:00:08;
MANCINI;663;96;35;24;23;95;8,32;12,02;0;8,25;5,44;40,6;7,4;00:06:54;0,82;1,25;3,67;3,41;14,4;5,3;2;1;5;6;0;6;53,93;25,78;23,26;3,45;00:00:05;40,6;00:00:02;00:00:00;00:00:26;00:00:01;00:00:02;00:00:03;00:00:12;00:00:10;
PINNA S.;662;96;38;31;27;82;8,4;13,07;2,25;13,12;7,7;38,91;15,35;00:06:54;1,16;1,98;4,67;4,03;12,34;5,67;3;5;10;7;0;7;28,73;24,65;24,56;3,48;00:00:05;38,91;00:00:03;00:00:00;00:00:22;00:00:03;00:00:03;00:00:05;00:00:14;00:00:12;
PISANO;730;106;58;23;15;97;8,82;7,69;1,82;5,92;3,54;32,43;12,39;00:06:54;0,49;0,81;3,16;2,07;13,24;7,89;1;1;9;6;0;6;30,68;22,32;24,36;3,65;00:00:09;32,43;00:00:02;00:00:00;00:00:23;00:00:02;00:00:02;00:00:02;00:00:11;00:00:08;
RAGATZU;706;102;41;26;22;91;8,68;9,65;0;7,45;5,55;34,31;11,67;00:06:54;0,79;1,06;3,64;3,1;12,86;5,8;2;3;10;11;0;11;48,08;22,53;21,89;3,59;00:00:07;34,31;00:00:02;00:00:00;00:00:23;00:00:02;00:00:02;00:00:03;00:00:12;00:00:10;
TRAVAGLINI;670;97;38;25;20;90;8,32;10,72;0;7,83;7,31;37,68;6,1;00:06:54;1,09;1,17;3,71;2,94;13,37;5,74;2;1;10;6;0;6;35,77;23,09;23,17;3,45;00:00:06;37,68;00:00:03;00:00:00;00:00:25;00:00:01;00:00:03;00:00:03;00:00:14;00:00:10;
UDHO;641;95;29;21;17;86;8,03;9,71;0;6,37;3,25;40,61;7,17;00:06:46;0,51;0,99;3,24;2,58;13,39;4,48;1;2;9;5;0;5;47,68;23,55;21,46;3,26;00:00:04;40,61;00:00:01;00:00:00;00:00:24;00:00:01;00:00:01;00:00:03;00:00:10;00:00:09;
