;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;1081;85;30;48;53;239;7,56;14,49;0,78;11,4;17,4;51,24;15,81;00:12:40;1,62;1,04;4,48;4,91;21,73;2,84;4,31;1,54;13,46;15,69;0;15,69;83,15;35,9;22,35;5,75;00:00:05;51,24;00:00:06;00:00:00;00:01:06;00:00:03;00:00:06;00:00:05;00:00:20;00:00:22;
BIANCU;1092;86;3;38;45;192;7,45;11,72;0;7,16;13,05;49,18;7,62;00:12:40;1,2;0,66;3,46;4,15;17,56;0,29;2;0;11;15;0;15;55,86;30,02;20,4;5,66;00:00:00;49,18;00:00:05;00:00:00;00:00:54;00:00:02;00:00:05;00:00:02;00:00:15;00:00:18;
BRIGNANI;1266;100;25;40;47;316;8,64;11,73;0;9,71;14,09;43,86;6,99;00:12:40;1,11;0,77;3,13;3,73;24,95;1,97;3;1;12;16;0;16;92,03;38,44;21,36;6,57;00:00:04;43,86;00:00:05;00:00:00;00:01:26;00:00:01;00:00:05;00:00:05;00:00:19;00:00:20;
CHIERICO;1110;88;28;48;53;245;7,74;14,07;0;15,41;10,53;49,76;19,69;00:12:40;0,95;1,39;4,3;4,78;22,04;2,55;2;4;15;14;0;14;109,5;37,22;22,38;5,88;00:00:04;49,76;00:00:04;00:00:00;00:01:05;00:00:05;00:00:04;00:00:06;00:00:20;00:00:22;
DEMARCUS ;1016;80;28;37;35;185;6,92;11,43;0;7,77;7,11;52,06;11,7;00:12:40;0,7;0,76;3,65;3,47;18,22;2,77;1;1;7;8;0;8;67,11;30,76;20,92;5,26;00:00:04;52,06;00:00:03;00:00:00;00:00:51;00:00:02;00:00:03;00:00:03;00:00:15;00:00:15;
EMERSON;770;61;15;24;25;86;5,2;10,5;0;5,34;9,84;59,76;5,36;00:12:40;1,28;0,69;3,16;3,22;11,19;2,01;5;0;6;8;0;8;25,99;20,19;22,5;3,95;00:00:02;59,76;00:00:04;00:00:00;00:00:26;00:00:01;00:00:04;00:00:02;00:00:13;00:00:12;
LA ROSA ;862;68;51;53;58;205;6,3;19,46;1,97;9,27;29,83;61,93;25,48;00:12:40;3,46;1,08;6,14;6,72;23,8;5,91;6;1;15;16;0;16;47,71;38,72;24,74;4,78;00:00:08;61,93;00:00:10;00:00:00;00:00:57;00:00:04;00:00:10;00:00:04;00:00:22;00:00:23;
LELLA ;1133;89;31;59;75;242;8,18;18,11;0;16,04;25,61;47,46;23,76;00:12:40;2,26;1,42;5,2;6,59;21,39;2,71;8;2;17;21;0;21;82,67;37,35;22,98;6,21;00:00:05;47,46;00:00:09;00:00:00;00:01:07;00:00:05;00:00:09;00:00:06;00:00:23;00:00:28;
MANCINI;1082;85;30;54;60;248;7,66;15,86;0;14,6;21,28;52,15;17,26;00:12:40;1,97;1,35;4,96;5,58;22,95;2,77;5;1;18;20;0;20;67,33;38,4;21,57;5,82;00:00:05;52,15;00:00:08;00:00:00;00:01:09;00:00:04;00:00:08;00:00:06;00:00:22;00:00:24;
OCCHIONI;1202;95;58;59;72;299;8,56;16,53;8,11;13,79;25,39;47,07;25,92;00:12:40;2,11;1,15;4,89;6,01;24,85;4,79;5;2;17;22;0;22;94,1;39,86;25,25;6,5;00:00:09;47,07;00:00:09;00:00:01;00:01:20;00:00:05;00:00:09;00:00:05;00:00:22;00:00:28;
PALESI;994;78;29;49;43;225;6,94;14,27;0;9,87;13,25;57,61;11,37;00:12:40;1,33;0,99;4,88;4,32;22,6;2,94;2;0;16;14;0;14;69,01;37,51;20,88;5,28;00:00:05;57,61;00:00:05;00:00:00;00:01:05;00:00:02;00:00:05;00:00:04;00:00:21;00:00:18;
PINNA S.;1187;94;27;64;69;266;8,44;16,35;0;15,67;22,55;45,39;21,21;00:12:40;1,9;1,32;5,38;5,8;22,44;2,25;6;2;14;17;0;17;118,69;37,55;23,2;6,41;00:00:04;45,39;00:00:08;00:00:00;00:01:13;00:00:04;00:00:08;00:00:06;00:00:26;00:00:28;
RENAULT ;1269;100;34;62;66;378;8,95;15,48;0;13,33;20,22;47,72;14,78;00:12:40;1,59;1,05;4,85;5,23;29,75;2,69;7;3;17;23;0;23;171,3;46,04;22,22;6,8;00:00:05;47,72;00:00:08;00:00:00;00:01:40;00:00:03;00:00:08;00:00:06;00:00:25;00:00:27;
TRAVAGLINI;1069;84;35;45;45;221;7,37;12,82;0;10,27;13,44;52,14;14,33;00:12:40;1,26;0,96;4,19;4,25;20,69;3,27;4;3;10;10;0;10;79,64;34,63;22,2;5,6;00:00:05;52,14;00:00:05;00:00:00;00:01:01;00:00:03;00:00:05;00:00:04;00:00:18;00:00:18;
