;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;684;37;6;28;24;53;3,18;11,06;1,24;9,09;7,45;80,27;6,92;00:18:31;1,04;1,28;4,04;3,47;7,51;0,85;2,21;2,43;10,71;7,21;0,07;7,21;10,89;16,3;19,7;3,54;00:00:00;80,27;00:00:03;00:00:00;00:00:17;00:00:01;00:00:03;00:00:04;00:00:18;00:00:15;
ARBOLEDA;763;41;5;46;39;97;3,74;17,68;0;18,67;14,58;80,04;13,88;00:18:34;1,91;2,45;6,01;5,06;12,69;0,59;5;5;19;15;0;15;12,03;27,09;20,46;4,17;00:00:00;80,04;00:00:06;00:00:00;00:00:30;00:00:04;00:00:06;00:00:09;00:00:26;00:00:21;
BIANCU;735;40;23;30;21;69;3,46;10,7;17,31;10,32;8,4;79,12;15,02;00:18:11;1,14;1,4;4,02;2,8;9,35;3,13;2;4;14;4;1;4;11,89;19,07;28,51;3,78;00:00:03;79,12;00:00:02;00:00:02;00:00:18;00:00:02;00:00:02;00:00:04;00:00:14;00:00:10;
BOCCIA;658;36;0;22;24;39;3,11;10,95;0;6,02;6;81,17;3,32;00:18:11;0,91;0,92;3,41;3,6;5,93;0;1;1;7;5;0;5;7,53;13,07;18,43;3,39;00:00:00;81,17;00:00:03;00:00:00;00:00:13;00:00:00;00:00:03;00:00:03;00:00:15;00:00:16;
BRIGNANI;636;35;2;23;19;43;2,97;9,61;0;5,5;4;80,17;4,12;00:18:11;0,63;0,86;3,64;2,97;6,84;0,35;1;2;7;5;0;5;9,55;15,01;19,78;3,24;00:00:00;80,17;00:00:01;00:00:00;00:00:14;00:00:01;00:00:01;00:00:03;00:00:16;00:00:12;
CHIERICO;742;41;19;33;30;86;3,57;13,07;0;10,95;10,94;77,31;10,54;00:18:11;1,47;1,48;4,4;4,05;11,57;2,56;4;4;18;8;0;8;22,73;22,31;22,98;3,9;00:00:03;77,31;00:00:04;00:00:00;00:00:25;00:00:02;00:00:04;00:00:06;00:00:21;00:00:18;
EMERSON;709;36;0;24;20;27;3,01;9,19;0;4,11;4,71;80,26;0,41;00:19:53;0,67;0,58;3,36;2,78;3,81;0;0;0;7;5;0;5;5,02;8,74;17,01;3,59;00:00:00;80,26;00:00:03;00:00:00;00:00:11;00:00:00;00:00:03;00:00:02;00:00:20;00:00:18;
LA ROSA ;679;33;1;22;19;39;2,8;9,32;0;9,54;4,45;83,7;7,25;00:20:30;0,66;1,4;3,18;2,79;5,76;0,16;1;2;9;7;0;7;9,76;13,61;19,15;3,45;00:00:00;83,7;00:00:01;00:00:00;00:00:12;00:00:02;00:00:01;00:00:04;00:00:15;00:00:12;
LELLA ;728;40;3;36;32;57;3,56;14,81;0;15,47;11,35;78,96;11,56;00:18:11;1,56;2,12;4,92;4,38;7,83;0,37;3;4;11;10;0;10;22,79;18,82;20,13;3,88;00:00:00;78,96;00:00:04;00:00:00;00:00:18;00:00:03;00:00:04;00:00:07;00:00:21;00:00:19;
MANCINI;740;41;0;34;30;62;3,5;11,19;0;8,84;8,32;78,76;3,81;00:18:11;1,12;1,19;4,55;3,99;8,36;0,01;4;3;15;11;0;11;9,13;18,1;19,01;3,82;00:00:00;78,76;00:00:04;00:00:00;00:00:21;00:00:01;00:00:04;00:00:05;00:00:20;00:00:17;
PINNA S.;678;37;28;29;29;61;3,21;11,11;0;8,22;9,61;77,6;8,23;00:18:11;1,42;1,21;4,32;4,28;8,97;4,19;5;1;12;9;0;9;8,74;17,63;23,35;3,5;00:00:04;77,6;00:00:03;00:00:00;00:00:16;00:00:01;00:00:03;00:00:04;00:00:17;00:00:17;
PISANO;426;23;0;9;8;13;1,91;5,21;0;1,72;0,7;86,61;0,55;00:18:11;0,16;0,4;2,23;1,98;3,15;0;0;2;3;3;0;3;0;7,48;15,63;2,08;00:00:00;86,61;00:00:00;00:00:00;00:00:04;00:00:00;00:00:00;00:00:01;00:00:07;00:00:07;
RAGATZU;757;42;6;34;33;65;3,62;12,43;0;11,41;11,86;75,77;10,82;00:18:11;1,57;1,51;4,54;4,31;8,61;0,74;3;4;11;9;0;9;29,72;18,42;19,64;3,95;00:00:01;75,77;00:00:05;00:00:00;00:00:19;00:00:02;00:00:05;00:00:04;00:00:19;00:00:17;
TRAVAGLINI;720;40;0;28;18;46;3,36;9,54;0;8,94;5,35;79,6;5,04;00:18:11;0,74;1,24;3,88;2,51;6,36;0;1;0;10;3;0;3;3,51;14,84;16,8;3,66;00:00:00;79,6;00:00:02;00:00:00;00:00:16;00:00:01;00:00:02;00:00:04;00:00:16;00:00:10;
UDHO;610;33;0;26;19;39;2,81;10,25;0;7,5;4,07;84,16;2,36;00:18:29;0,67;1,23;4,24;3,17;6,44;0;1;2;7;7;0;7;0;14,83;14,93;3,12;00:00:00;84,16;00:00:02;00:00:00;00:00:14;00:00:00;00:00:02;00:00:04;00:00:18;00:00:13;
