;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;1395;68;66;115;112;350;6,5;23,48;4,22;36,49;43,39;59,73;47,57;00:20:31;3,08;2,59;8,17;7,97;24,95;4,63;12,62;7,12;37,62;38,38;0;38,38;142,07;43,67;23,38;8,01;00:00:11;59,73;00:00:17;00:00:00;00:01:37;00:00:11;00:00:17;00:00:14;00:00:46;00:00:44;
BIANCU;1226;61;90;116;103;342;6,01;27,88;5,36;37,37;43,41;66,84;60,76;00:20:11;3,54;3,05;9,42;8,4;27,88;7,31;17;10;39;35;0;35;121,34;48,07;24,93;7,28;00:00:14;66,84;00:00:16;00:00:00;00:01:30;00:00:13;00:00:16;00:00:14;00:00:42;00:00:38;
BRIGNANI;1384;70;79;118;120;379;6,75;25,19;1,95;39,62;49,24;59,04;56,23;00:19:51;3,56;2,86;8,55;8,7;27,38;5,72;15;8;42;45;0;45;147,2;47,1;24,15;8,04;00:00:13;59,04;00:00:18;00:00:00;00:01:42;00:00:13;00:00:18;00:00:15;00:00:46;00:00:46;
EMERSON;1413;68;84;115;106;314;6,41;22,38;26,44;37,58;49,23;59,63;49,25;00:20:52;3,48;2,66;8,11;7,48;22,23;5,95;7;8;33;39;0;39;109,39;40,39;26,05;8,03;00:00:13;59,63;00:00:18;00:00:03;00:01:25;00:00:11;00:00:18;00:00:15;00:00:46;00:00:42;
GIANDONATO;1116;53;9;71;79;224;4,84;19,08;0;18,24;23,55;67,62;12,77;00:21:15;2,11;1,63;6,35;7,12;20,11;0,83;6;2;21;22;0;22;70,24;36,25;20,16;6,17;00:00:01;67,62;00:00:11;00:00:00;00:01:08;00:00:03;00:00:11;00:00:08;00:00:33;00:00:38;
LA ROSA ;1477;71;59;107;105;375;6,59;20,36;0;31,35;36,83;56,15;38,49;00:20:52;2,49;2,12;7,26;7,08;25,38;3,96;15;5;34;36;0;36;166,23;42,84;22,01;8,26;00:00:10;56,15;00:00:14;00:00:00;00:01:45;00:00:09;00:00:14;00:00:14;00:00:45;00:00:44;
PALESI;1470;73;38;116;117;348;6,96;23,08;0;36,65;44,01;56,21;39,85;00:20:07;2,99;2,49;7,93;7,96;23,66;2,57;13;5;38;40;0;40;148,35;42,13;23,62;8,4;00:00:06;56,21;00:00:17;00:00:00;00:01:39;00:00:09;00:00:17;00:00:15;00:00:48;00:00:47;
PINNA S.;1602;80;100;143;138;425;7,7;24,89;0;47,23;53,93;53,2;68,18;00:20:06;3,37;2,95;8,91;8,63;26,56;6,26;15;11;51;48;0;48;196,66;46,11;22,61;9,29;00:00:17;53,2;00:00:19;00:00:00;00:01:54;00:00:16;00:00:19;00:00:17;00:00:54;00:00:52;
RAGATZU;1476;71;69;132;125;395;6,87;25,36;0;43,86;46,89;58,83;55;00:20:52;3,18;2,97;8,96;8,45;26,73;4,66;13;8;43;42;0;42;177,16;46,99;23,52;8,6;00:00:11;58,83;00:00:18;00:00:00;00:01:49;00:00:13;00:00:18;00:00:17;00:00:52;00:00:49;
