;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;2928;111;159;160;153;655;10,01;16,47;29,5;46,87;52,82;33,61;74,21;00:26:22;1,8;1,61;5,46;5,24;22,24;5,39;13,92;7,92;44,54;43,54;0,77;43,54;232,92;37,51;26,58;15,84;00:00:25;33,61;00:00:20;00:00:03;00:02:55;00:00:16;00:00:20;00:00:18;00:01:05;00:01:03;
ARBOLEDA;3171;119;240;202;219;892;11,28;22,2;87,68;63,44;89,19;32,97;120,41;00:26:34;2,81;2;6,36;6,9;28,12;7,58;29;13;47;57;2;57;272,66;45,14;30,34;18;00:00:37;32,97;00:00:33;00:00:11;00:03:54;00:00:25;00:00:33;00:00:24;00:01:18;00:01:26;
BIANCU;2834;106;163;155;130;578;9,42;15,19;22,61;40,37;34,27;37,13;72,99;00:26:48;1,21;1,42;5,47;4,58;20,41;5,74;8;7;43;34;0;34;215,12;35,61;26,93;15,16;00:00:26;37,13;00:00:13;00:00:03;00:02:33;00:00:15;00:00:13;00:00:15;00:00:59;00:00:51;
BOCCIA;2776;104;67;183;159;567;9,53;18,12;10,26;64,54;41,09;37,36;67,27;00:26:37;1,48;2,32;6,58;5,72;20,43;2,41;8;16;64;43;0;43;175,57;37,33;26,99;15,23;00:00:10;37,36;00:00:17;00:00:01;00:02:47;00:00:16;00:00:17;00:00:27;00:01:22;00:01:10;
BRIGNANI;2969;113;163;146;141;648;10,05;14,88;0;41,6;40;31,8;59,36;00:26:15;1,35;1,4;4,93;4,74;21,83;5,49;9;5;38;38;0;38;280,16;36,37;23,4;15,84;00:00:27;31,8;00:00:15;00:00:00;00:02:54;00:00:13;00:00:15;00:00:17;00:01:02;00:00:59;
CHIERICO;3229;124;137;144;144;673;10,91;13,58;0;40,22;44,22;23,77;49,37;00:26:00;1,37;1,25;4,45;4,46;20,85;4,25;12;5;42;41;0;41;255,7;34,8;23,55;17,03;00:00:23;23,77;00:00:18;00:00:00;00:03:04;00:00:11;00:00:18;00:00:17;00:01:01;00:01:02;
EMERSON;2617;101;94;106;105;468;8,82;13,23;14,83;30,23;37,12;36,7;29,72;00:26:00;1,42;1,16;4,04;4,01;17,87;3,6;8;6;34;39;1;39;168,57;30,11;25,27;13,76;00:00:15;36,7;00:00:15;00:00:02;00:02:07;00:00:07;00:00:15;00:00:13;00:00:50;00:00:50;
LA ROSA ;3050;114;69;127;117;595;9,9;12,06;0;29,08;27,55;29,94;25,54;00:26:42;0,9;0,95;4,15;3,85;19,5;2,26;4;3;31;28;0;28;139,33;32,57;22,9;15,87;00:00:11;29,94;00:00:12;00:00:00;00:02:52;00:00:06;00:00:12;00:00:13;00:00:58;00:00:56;
MANCINI;2823;109;145;181;164;667;9,95;18,47;31,14;54,93;57,06;36,23;86,32;00:26:00;2,02;1,95;6,4;5,81;23,63;5,15;15;6;51;55;0;55;230,34;40,84;27,92;15,53;00:00:23;36,23;00:00:20;00:00:04;00:02:59;00:00:19;00:00:20;00:00:20;00:01:07;00:01:01;
PINNA S.;3209;123;232;192;184;831;11,26;17,94;68,23;52,73;71,37;27,91;117,03;00:26:00;2,22;1,64;5,98;5,73;25,89;7,24;20;6;40;52;3;52;318,78;42,17;28,85;17,58;00:00:36;27,91;00:00:24;00:00:08;00:03:33;00:00:24;00:00:24;00:00:18;00:01:12;00:01:10;
PISANO;2997;115;260;141;152;752;10,32;15,72;71,92;42,71;59,01;35,43;90,17;00:26:00;1,97;1,42;4,69;5,07;25,1;8,69;17;8;42;51;3;51;272,18;39,98;29,45;16,11;00:00:40;35,43;00:00:21;00:00:09;00:03:06;00:00:18;00:00:21;00:00:15;00:00:53;00:00:57;
RAGATZU;2546;97;134;153;147;518;8,73;16,49;8,53;49,63;49,33;39,2;79,98;00:26:17;1,94;1,95;6;5,77;20,35;5,28;12;12;51;38;0;38;254,93;35,71;25,66;13,77;00:00:22;39,2;00:00:18;00:00:01;00:02:14;00:00:18;00:00:18;00:00:19;00:01:01;00:00:56;
TRAVAGLINI;3069;114;212;196;183;742;10,51;19,56;24,8;63,6;74,75;32,28;93,59;00:27:01;2,44;2,07;6,38;5,97;24,19;6,89;18;8;46;45;0;45;273,63;41,08;26,58;17,04;00:00:34;32,28;00:00:27;00:00:03;00:03:19;00:00:21;00:00:27;00:00:25;00:01:17;00:01:12;
UDHO;2774;105;151;151;151;582;9,46;16,55;43,52;36,26;61,64;36,1;73,02;00:26:26;2,22;1,31;5,44;5,44;20,97;5,46;21;8;50;45;1;45;170,95;35,83;27,73;15,02;00:00:23;36,1;00:00:23;00:00:05;00:02:39;00:00:15;00:00:23;00:00:15;00:01:01;00:01:02;
