;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;1065;67;41;52;51;170;5,89;13,71;4,64;17,88;17,68;60,12;22,99;00:15:59;1,58;1,61;4,8;4,64;15,39;3,56;5,46;3,46;17,23;18;0,08;18;58,73;28,31;23,7;5,65;00:00:06;60,12;00:00:07;00:00:00;00:00:46;00:00:05;00:00:07;00:00:07;00:00:23;00:00:21;
ARBOLEDA;1272;80;89;83;78;260;7,37;19,59;10,51;30,47;33,19;51,8;53,83;00:15:59;2,61;2,39;6,52;6,1;20,4;7,02;7;7;22;23;0;23;97,73;37,11;25,37;7,07;00:00:14;51,8;00:00:11;00:00:01;00:01:07;00:00:11;00:00:11;00:00:11;00:00:33;00:00:28;
BRIGNANI;1050;66;24;40;37;132;5,63;10,66;4,62;13,15;8,66;59,38;9,58;00:15:59;0,82;1,25;3,77;3,53;12,6;2,29;3;2;13;12;0;12;41,92;23,26;24,51;5,4;00:00:03;59,38;00:00:03;00:00:00;00:00:37;00:00:02;00:00:03;00:00:05;00:00:20;00:00:17;
CHIERICO;1199;75;35;68;59;277;6,8;17,14;0;28,92;23,34;59,38;25,83;00:15:59;1,95;2,41;5,66;4,95;23,13;2,94;8;6;27;21;0;21;116,93;39,75;22,25;6,52;00:00:05;59,38;00:00:09;00:00:00;00:01:15;00:00:06;00:00:09;00:00:12;00:00:30;00:00:25;
EMERSON;897;56;23;38;31;81;4,76;9,55;6,9;6,51;8,26;65,66;13,95;00:15:59;0,92;0,73;4,22;3,48;9,06;2,59;2;0;10;12;0;12;36,99;18,26;25,72;4,56;00:00:03;65,66;00:00:03;00:00:00;00:00:23;00:00:02;00:00:03;00:00:02;00:00:17;00:00:14;
GIANDONATO;1076;67;40;43;40;154;5,75;10,46;0;10,24;9,44;60,93;15,63;00:15:59;0,88;0,95;4;3,74;14,32;3,74;3;4;13;18;0;18;52,75;25,21;22,95;5,52;00:00:06;60,93;00:00:04;00:00:00;00:00:42;00:00:03;00:00:04;00:00:04;00:00:21;00:00:19;
LADINETTI;1115;70;53;57;58;222;6,26;16;4,5;22,87;23,55;62,86;20,92;00:15:59;2,11;2,05;5,11;5,17;19,89;4,73;10;6;18;23;0;23;64,19;33,92;24,68;6,01;00:00:08;62,86;00:00:08;00:00:00;00:01:00;00:00:05;00:00:08;00:00:09;00:00:26;00:00:24;
LELLA ;1165;73;20;79;75;227;6,76;19,91;0;32,2;29,82;59,27;29,8;00:15:59;2,56;2,76;6,76;6,43;19,46;1,74;14;6;34;28;0;28;98,73;37,55;21,42;6,49;00:00:03;59,27;00:00:12;00:00:00;00:01:06;00:00:08;00:00:12;00:00:14;00:00:33;00:00:30;
MANCINI;833;52;2;21;23;77;4,33;7,31;0;4,24;6,9;69,07;2,6;00:15:59;0,83;0,51;2,47;2,79;9,27;0,21;1;0;7;11;0;11;17,47;17,28;19,1;4,15;00:00:00;69,07;00:00:03;00:00:00;00:00:23;00:00:00;00:00:03;00:00:02;00:00:10;00:00:12;
PINNA S.;1331;83;117;75;82;243;7,5;16,39;12,92;25,21;32,24;44,19;50,09;00:15:59;2,42;1,89;5,62;6,18;18,25;8,78;10;8;24;30;0;30;83,5;32,51;25,77;7,19;00:00:18;44,19;00:00:12;00:00:01;00:01:00;00:00:10;00:00:12;00:00:09;00:00:28;00:00:32;
PISANO;907;57;14;39;35;111;4,89;11,52;0;12,12;10,85;63,36;10,21;00:15:59;1,2;1,34;4,27;3,84;12,28;1,57;4;2;15;13;0;13;23,9;24,06;23,8;4,7;00:00:02;63,36;00:00:04;00:00:00;00:00:33;00:00:02;00:00:04;00:00:05;00:00:18;00:00:18;
RAGATZU;840;53;24;33;33;93;4,52;11,28;0;11,14;9,51;64,48;15,97;00:15:59;1,13;1,33;3,93;3,91;11,1;2,9;2;2;11;7;0;7;26,66;22,19;23,11;4,34;00:00:04;64,48;00:00:03;00:00:00;00:00:27;00:00:03;00:00:03;00:00:04;00:00:15;00:00:13;
TRAVAGLINI;1226;77;72;61;60;193;6,78;14,36;20,89;19,5;21,11;53,58;35,76;00:15:59;1,72;1,59;4,98;4,88;15,74;5,86;4;2;19;22;1;22;57,57;29,39;27,22;6,51;00:00:11;53,58;00:00:07;00:00:02;00:00:51;00:00:07;00:00:07;00:00:07;00:00:23;00:00:23;
UDHO;936;59;18;47;50;136;5,17;14,06;0;15,88;12,91;67,54;14,71;00:15:59;1,38;1,7;5,06;5,32;14,54;1,91;3;0;11;14;0;14;45,09;27,56;22,2;4,96;00:00:03;67,54;00:00:05;00:00:00;00:00:40;00:00:03;00:00:05;00:00:07;00:00:22;00:00:21;
