;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;914;57;1;48;41;60;5;13,05;0;14,36;9,49;62,14;7,63;00:16:00;1,02;1,55;5,22;4,43;6,53;0,11;1,07;2,79;11,29;8,64;0;8,64;9,54;14,85;17,25;4,8;00:00:00;62,14;00:00:06;00:00:00;00:00:20;00:00:02;00:00:06;00:00:08;00:00:36;00:00:34;
BIANCU;919;57;0;40;29;61;4,92;10,59;0;11,87;5,6;63,87;5,03;00:16:00;0,61;1,29;4,32;3,18;6,65;0;0;3;14;7;0;7;0,75;15,28;16,17;4,72;00:00:00;63,87;00:00:02;00:00:00;00:00:21;00:00:01;00:00:02;00:00:06;00:00:26;00:00:20;
BOCCIA;934;58;0;42;35;56;5,02;11,17;0;10,11;6,89;60,3;5,45;00:16:00;0,74;1,08;4,53;3,73;5,97;0;1;1;11;8;0;8;4,48;13,25;17,03;4,82;00:00:00;60,3;00:00:05;00:00:00;00:00:19;00:00:01;00:00:05;00:00:05;00:00:31;00:00:30;
BRIGNANI;958;60;0;56;48;72;5,32;14,91;0;20,19;12,91;61,03;13,52;00:16:00;1,35;2,11;5,83;5;7,52;0;2;5;11;8;0;8;17,44;17,17;18,41;5,11;00:00:00;61,03;00:00:09;00:00:00;00:00:23;00:00:03;00:00:09;00:00:11;00:00:41;00:00:40;
EMERSON;1031;64;16;83;79;97;5,95;19,38;0;29,56;22,65;57,07;22,74;00:16:00;2,2;2,87;8,1;7,65;9,4;1,59;2;6;18;21;0;21;43,64;20,91;21,31;5,71;00:00:02;57,07;00:00:16;00:00:00;00:00:32;00:00:05;00:00:16;00:00:18;00:00:57;00:00:57;
GIANDONATO;821;51;0;44;34;48;4,49;13,11;0;8,92;5,25;65,49;3,44;00:16:00;0,64;1,09;5,33;4,14;5,83;0;1;3;14;7;0;7;0;13,62;15,41;4,31;00:00:00;65,49;00:00:03;00:00:00;00:00:17;00:00:01;00:00:03;00:00:05;00:00:39;00:00:33;
LA ROSA ;896;56;0;40;30;48;4,79;10,53;0;10,76;6,72;62,97;1,6;00:16:00;0,75;1,2;4,46;3,38;5,39;0;0;1;9;7;0;7;0;11,55;15,37;4,6;00:00:00;62,97;00:00:07;00:00:00;00:00:17;00:00:00;00:00:07;00:00:08;00:00:35;00:00:31;
LELLA ;1018;64;0;62;50;81;5,66;15,02;0;24,68;16,56;58,7;13,51;00:16:00;1,63;2,43;6,14;4,89;7,93;0;2;5;14;8;0;8;34,01;17,98;18,52;5,44;00:00:00;58,7;00:00:11;00:00:00;00:00:25;00:00:03;00:00:11;00:00:14;00:00:43;00:00:39;
PALESI;874;55;0;37;33;49;4,7;11,18;0;8,88;7,13;65,27;3,91;00:16:00;0,82;1,02;4,28;3,78;5,57;0;0;0;8;7;0;7;1,31;12,86;16,41;4,51;00:00:00;65,27;00:00:04;00:00:00;00:00:17;00:00:01;00:00:04;00:00:04;00:00:28;00:00:27;
PINNA S.;897;56;0;47;38;51;4,89;12,7;0;13,89;9,68;61,56;4,07;00:16:00;1,08;1,55;5,23;4,27;5,72;0;2;2;8;6;0;6;0,28;12,93;16,06;4,69;00:00:00;61,56;00:00:08;00:00:00;00:00:18;00:00:01;00:00:08;00:00:09;00:00:38;00:00:34;
PISANO;840;52;0;45;39;53;4,6;13,13;0;12,52;8,62;64,18;6,44;00:16:00;1,03;1,49;5,32;4,63;6,33;0;1;3;9;9;0;9;4,59;14,25;17,8;4,41;00:00:00;64,18;00:00:07;00:00:00;00:00:17;00:00:01;00:00:07;00:00:07;00:00:36;00:00:33;
RAGATZU;905;57;0;43;32;45;4,85;10,92;0;10,26;5,89;60,68;4,34;00:16:00;0,65;1,13;4,7;3,59;5,03;0;1;2;9;5;0;5;2,05;11,68;16,25;4,66;00:00:00;60,68;00:00:05;00:00:00;00:00:15;00:00:01;00:00:05;00:00:06;00:00:33;00:00:28;
RENAULT ;934;58;0;46;41;62;5,08;12,57;0;11,12;7,97;60,92;6,65;00:16:00;0,85;1,19;4,96;4,38;6,67;0;2;2;8;9;0;9;7,88;14,78;17,42;4,88;00:00:00;60,92;00:00:04;00:00:00;00:00:20;00:00:02;00:00:04;00:00:05;00:00:35;00:00:34;
TRAVAGLINI;912;57;0;40;36;58;4,97;12,7;0;13,31;8,54;61,2;7,79;00:16:00;0,94;1,46;4,4;3,89;6,35;0;1;2;11;10;0;10;10,36;15,36;18,29;4,77;00:00:00;61,2;00:00:04;00:00:00;00:00:21;00:00:02;00:00:04;00:00:06;00:00:28;00:00:27;
UDHO;865;54;0;47;48;61;4,8;14,83;0;15,02;8,49;66,73;8,4;00:16:00;0,98;1,74;5,47;5,57;7,06;0;0;4;14;9;0;9;6,78;16,29;17,09;4,61;00:00:00;66,73;00:00:04;00:00:00;00:00:21;00:00:02;00:00:04;00:00:08;00:00:35;00:00:38;
