;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;6924;66;281;361;333;1336;5,85;14,96;37,77;110,32;109,4;61,92;141,49;01:45:22;1,58;1,6;5,22;4,81;19,24;4,06;27,8;19,33;113,27;100,8;0,53;100,8;481,91;33,62;27,41;36,96;00:00:45;61,92;00:00:43;00:00:05;00:06:04;00:00:33;00:00:43;00:00:47;00:02:37;00:02:23;
BIANCU;6980;65;289;354;315;1236;5,81;14,77;13,31;106,36;113,4;62,37;159,46;01:46:48;1,62;1,52;5,07;4,51;17,71;4,14;26;21;113;91;0;91;460,2;31,83;25,19;37,2;00:00:48;62,37;00:00:42;00:00:01;00:05:39;00:00:36;00:00:42;00:00:45;00:02:32;00:02:08;
BOCCIA;7185;67;381;406;383;1460;6,08;16,75;76,04;137,32;145,71;61,31;188,48;01:46:48;2,03;1,91;5,65;5,33;20,32;5,3;38;26;135;123;1;123;446,93;35,23;29,34;38,95;00:01:00;61,31;00:00:57;00:00:10;00:06:33;00:00:43;00:00:57;00:00:57;00:02:57;00:02:48;
BRIGNANI;7493;70;280;378;359;1581;6,2;14,11;31,79;109,11;101,63;58,59;140,06;01:46:48;1,36;1,46;5,04;4,79;21,1;3,73;27;18;114;108;0;108;622,79;35,4;27,61;39,71;00:00:45;58,59;00:00:39;00:00:04;00:07:07;00:00:32;00:00:39;00:00:46;00:02:40;00:02:31;
CHIERICO;7494;70;224;356;326;1432;6,16;13,38;18,13;100,49;93,37;59,23;105,37;01:46:48;1,25;1,34;4,75;4,35;19,1;2,98;25;15;104;106;0;106;442,37;32,89;26,32;39,46;00:00:36;59,23;00:00:40;00:00:02;00:06:42;00:00:25;00:00:40;00:00:45;00:02:42;00:02:29;
DEMARCUS ;4825;56;252;302;270;960;5,02;16,78;16,21;93,09;85,53;68,68;121,69;01:26:53;1,77;1,93;6,25;5,6;19,89;5,23;22;17;119;82;0;82;392,75;35,28;27,48;26,17;00:00:41;68,68;00:00:34;00:00:02;00:04:19;00:00:28;00:00:34;00:00:38;00:02:08;00:01:53;
EMERSON;6463;61;135;296;294;963;5,31;13,44;24,76;90,34;97,84;62,5;97,7;01:46:48;1,51;1,4;4,57;4,56;14,9;2,1;22;18;99;92;0;92;328,2;27,02;28,85;34,05;00:00:21;62,5;00:00:40;00:00:03;00:04:33;00:00:23;00:00:40;00:00:41;00:02:25;00:02:20;
LA ROSA ;7270;69;211;325;277;1396;5,99;12,09;11,86;85,02;63,03;58,83;94,22;01:45:18;0,87;1,17;4,46;3,81;19,2;2,9;15;11;96;67;0;67;580,61;32,86;25,42;37,84;00:00:35;58,83;00:00:27;00:00:01;00:06:19;00:00:22;00:00:27;00:00:37;00:02:22;00:02:03;
LELLA ;7442;70;201;444;383;1377;6,3;16,84;50,94;150;135,5;59,79;181,02;01:46:48;1,82;2,02;5,97;5,15;18,5;2,7;37;14;128;124;1;124;440,6;34,27;28,16;40,38;00:00:31;59,79;00:00:52;00:00:06;00:06:28;00:00:44;00:00:52;00:01:02;00:03:09;00:02:45;
MANCINI;6869;64;249;354;308;1295;5,67;13,94;21,42;98,16;92,29;64,55;140,07;01:46:48;1,34;1,43;5,15;4,48;18,85;3,63;22;14;131;89;0;89;499,48;33,3;25,71;36,35;00:00:41;64,55;00:00:36;00:00:03;00:05:52;00:00:32;00:00:36;00:00:41;00:02:30;00:02:07;
OCCHIONI;7474;70;328;411;386;1514;6,26;15,58;52,72;126,74;132,47;60,53;154,05;01:46:48;1,77;1,7;5,5;5,16;20,26;4,39;35;32;129;128;1;128;531,97;35,14;27,68;40,12;00:00:53;60,53;00:00:52;00:00:07;00:06:52;00:00:36;00:00:52;00:00:54;00:02:51;00:02:42;
PALESI;6803;64;298;345;322;1349;5,65;14,69;48,09;100,3;109,47;63,19;136,06;01:46:48;1,61;1,47;5,08;4,73;19,83;4,38;31;19;102;102;0;102;499,91;33,95;27,66;36,24;00:00:48;63,19;00:00:44;00:00:06;00:06:04;00:00:30;00:00:44;00:00:41;00:02:29;00:02:21;
PINNA S.;6725;63;374;377;367;1327;5,72;17,3;72,28;123,21;143,29;62,08;178,75;01:46:48;2,13;1,83;5,61;5,45;19,73;5,55;34;28;108;116;1;116;459,1;34,73;29,16;36,63;00:00:59;62,08;00:00:55;00:00:09;00:05:59;00:00:40;00:00:55;00:00:51;00:02:43;00:02:44;
RENAULT ;7485;70;528;384;379;1743;6,27;15,58;73,77;114,17;121,17;60,17;156,68;01:46:48;1,62;1,53;5,13;5,07;23,29;7,06;34;15;120;118;3;118;741,65;38,06;27,42;40,17;00:01:25;60,17;00:00:46;00:00:10;00:07:23;00:00:36;00:00:46;00:00:48;00:02:38;00:02:33;
TRAVAGLINI;6567;61;268;325;304;1197;5,46;14,7;28,55;107,75;100,64;64,42;136,95;01:46:48;1,53;1,64;4,94;4,63;18,22;4,09;26;20;82;85;1;85;459,79;32,15;26,43;34,98;00:00:44;64,42;00:00:39;00:00:03;00:05:25;00:00:32;00:00:39;00:00:44;00:02:20;00:02:12;
