;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;475;118;22;31;32;113;10,99;19,75;1,56;9,55;10,97;27,53;13,11;00:04:00;2,29;2;6,5;6,63;23,52;4,46;2,1;2,5;8,8;10,2;0;10,2;36,11;40,61;21,73;2,65;00:00:03;27,53;00:00:04;00:00:00;00:00:31;00:00:03;00:00:04;00:00:03;00:00:12;00:00:12;
ARBOLEDA;491;118;48;44;49;135;11,66;27,52;9,74;13,2;17,45;30,18;27,5;00:04:09;3,55;2,69;8,87;9,93;27,52;9,81;3;4;12;12;0;12;42,74;47,35;26,61;2,91;00:00:07;30,18;00:00:06;00:00:01;00:00:34;00:00:06;00:00:06;00:00:04;00:00:15;00:00:16;
BRIGNANI;448;110;0;27;28;83;9,93;17,03;0;8,04;8,06;26,69;2,35;00:04:05;1,8;1,79;6,1;6,26;18,42;0;2;1;8;9;0;9;4,58;34,54;17,17;2,44;00:00:00;26,69;00:00:03;00:00:00;00:00:26;00:00:00;00:00:03;00:00:03;00:00:12;00:00:12;
CHIERICO;500;131;25;35;42;136;12,32;21,83;0;7,78;15,63;24,17;17,96;00:03:49;3,13;1,56;7,05;8,46;27,3;4,95;3;2;11;11;0;11;44,32;45,27;22,08;2,83;00:00:04;24,17;00:00:05;00:00:00;00:00:37;00:00:04;00:00:05;00:00:02;00:00:12;00:00:15;
EMERSON;453;112;2;23;23;85;9,94;14,71;0;5,04;6,2;27,57;2,97;00:04:02;1,37;1,11;5,06;5,07;18,72;0,37;1;1;5;9;0;9;34,92;32,88;19,19;2,41;00:00:00;27,57;00:00:02;00:00:00;00:00:24;00:00:00;00:00:02;00:00:02;00:00:09;00:00:10;
GIANDONATO;412;112;8;21;24;77;10,24;17,9;0;6,46;9,34;27,24;7,97;00:03:40;2,27;1,57;5,2;5,85;18,7;2,01;2;1;7;12;0;12;21,17;34,4;21,2;2,26;00:00:01;27,24;00:00:04;00:00:00;00:00:22;00:00:02;00:00:04;00:00:02;00:00:09;00:00:10;
LADINETTI;514;130;3;30;27;121;11,72;16,88;0;8,39;7,96;22,18;6,77;00:03:58;1,55;1,63;5,93;5,18;23,52;0,63;1;3;8;8;0;8;41,62;40,27;19,72;2,79;00:00:00;22,18;00:00:03;00:00:00;00:00:34;00:00:01;00:00:03;00:00:03;00:00:12;00:00:11;
LELLA ;520;126;56;45;41;156;12,22;25,15;5,84;15,03;15,6;28,6;26,18;00:04:07;3;2,89;8,74;7,82;30,03;10,74;5;3;13;15;0;15;60,68;50,04;25,5;3,02;00:00:09;28,6;00:00:05;00:00:00;00:00:39;00:00:06;00:00:05;00:00:05;00:00:15;00:00:14;
PISANO;498;120;48;25;27;124;10,85;17,23;0;8,35;10,03;27,25;12,59;00:04:09;2,01;1,68;5,07;5,42;24,9;9,72;1;3;7;11;0;11;31,81;40,54;22,87;2,71;00:00:07;27,25;00:00:03;00:00:00;00:00:30;00:00:03;00:00:03;00:00:03;00:00:09;00:00:11;
RAGATZU;377;99;13;22;20;68;8,85;16,09;0;9,16;6,78;34,32;10,18;00:03:49;1,8;2,43;5,87;5,4;18,04;3,44;0;3;8;7;0;7;34,14;32,75;21,64;2,03;00:00:02;34,32;00:00:02;00:00:00;00:00:18;00:00:02;00:00:02;00:00:03;00:00:09;00:00:08;
UDHO;540;126;12;37;36;146;12;22,52;0;14,03;12,64;27,13;16,59;00:04:16;2,34;2,6;6,88;6,69;27,11;2,31;3;4;9;8;0;8;45,16;46,63;21,3;3,07;00:00:02;27,13;00:00:04;00:00:00;00:00:41;00:00:04;00:00:04;00:00:05;00:00:14;00:00:13;
