;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;3137;107;138;160;150;651;9,53;15,03;28,17;47,87;49,84;34,84;67,92;00:29:19;1,59;1,53;5,09;4,78;20,61;4,36;11,71;7,21;44,64;46,36;0,64;46,36;206,16;35,2;26,56;16,77;00:00:21;34,84;00:00:19;00:00:03;00:02:58;00:00:15;00:00:19;00:00:20;00:01:07;00:01:03;
BIANCU;3517;122;229;172;173;825;10,82;15,03;18,49;46,4;52;26,5;88,05;00:28:55;1,48;1,32;4,9;4,93;23,45;6,51;9;5;40;48;1;48;302,69;39,02;27,59;18,79;00:00:37;26,5;00:00:17;00:00:02;00:03:32;00:00:19;00:00:17;00:00:18;00:01:03;00:01:01;
BOCCIA;3238;110;174;193;169;693;9,95;17,37;58,06;59,26;57,34;33,25;75,89;00:29:33;1,77;1,83;5,96;5,21;21,42;5,37;12;8;60;56;1;56;170,74;37,06;32,78;17,65;00:00:26;33,25;00:00:25;00:00:07;00:03:16;00:00:15;00:00:25;00:00:27;00:01:30;00:01:19;
BRIGNANI;3199;109;88;141;133;682;9,61;13,71;0;37,36;43,5;32,61;47,15;00:29:18;1,36;1,17;4,42;4,16;21,33;2,74;11;5;40;44;0;44;221,28;35,26;23,9;16,89;00:00:14;32,61;00:00:17;00:00:00;00:03:10;00:00:11;00:00:17;00:00:16;00:01:02;00:00:58;
CHIERICO;3455;117;92;162;160;713;10,28;13,85;0;46,3;53,92;29,58;52,89;00:29:36;1,56;1,34;4,69;4,63;20,64;2,66;15;4;45;56;0;56;192,51;34,93;23,27;18,27;00:00:15;29,58;00:00:21;00:00:00;00:03:20;00:00:12;00:00:21;00:00:19;00:01:09;00:01:08;
EMERSON;2735;93;32;95;88;332;7,92;9,47;4,1;29,47;24,21;39,17;21,6;00:29:16;0,89;1,08;3,46;3,21;12,15;1,16;4;5;28;28;0;28;85,27;22,44;24,8;13,91;00:00:05;39,17;00:00:10;00:00:00;00:01:40;00:00:05;00:00:10;00:00:14;00:00:48;00:00:44;
LA ROSA ;3323;112;6;100;85;558;9,45;8,89;0;25,53;24,93;30,87;21,07;00:29:37;0,75;0,77;3;2,57;16,78;0,19;4;1;28;30;0;30;162,59;27,58;20,36;16,8;00:00:01;30,87;00:00:11;00:00:00;00:02:40;00:00:05;00:00:11;00:00:11;00:00:46;00:00:43;
LELLA ;3065;106;148;196;165;634;9,68;18,2;28,91;68,11;59,88;35,01;99,27;00:28:58;1,95;2,22;6,4;5,39;20,68;4,82;19;14;59;48;0;48;215,01;37,52;26,59;16,83;00:00:23;35,01;00:00:22;00:00:04;00:02:55;00:00:23;00:00:22;00:00:27;00:01:20;00:01:08;
MANCINI;2966;101;77;144;130;562;8,94;13,92;9,49;37,44;40,45;37,03;50,85;00:29:15;1,36;1,26;4,87;4,4;18,94;2,61;12;9;38;42;0;42;195,74;33,02;26,24;15,69;00:00:12;37,03;00:00:17;00:00:01;00:02:38;00:00:11;00:00:17;00:00:15;00:01:00;00:00:55;
OCCHIONI;3284;113;145;178;179;733;10,11;15,79;34,56;48,65;52,38;32,48;76,68;00:29:06;1,6;1,48;5,43;5,46;22,33;4,4;11;5;52;53;1;53;220,09;37,7;28,89;17,66;00:00:22;32,48;00:00:20;00:00:04;00:03:24;00:00:16;00:00:20;00:00:19;00:01:12;00:01:14;
PALESI;2995;102;243;177;166;736;9,31;17,91;81,13;59,57;58,24;42,45;91,4;00:29:21;1,94;1,99;5,91;5,54;24,58;8,11;20;9;52;54;2;54;241,9;40,54;28,61;16,4;00:00:37;42,45;00:00:22;00:00:10;00:03:09;00:00:19;00:00:22;00:00:25;00:01:17;00:01:09;
RAGATZU;2819;95;193;162;164;612;8,66;17,32;27,55;45,7;62,8;39,59;83,9;00:29:33;2,23;1,62;5,75;5,81;21,71;6,86;15;8;42;48;1;48;223,31;37,14;27,14;15,36;00:00:31;39,59;00:00:23;00:00:03;00:02:40;00:00:18;00:00:23;00:00:18;00:01:04;00:01:05;
RENAULT ;3514;120;276;220;225;937;11,12;19,53;66,35;70,23;79,38;31,16;113,81;00:29:14;2,26;2;6,27;6,4;26,66;7,86;18;13;63;65;2;65;332,35;43,42;27,73;19,51;00:00:43;31,16;00:00:28;00:00:08;00:04:00;00:00:25;00:00:28;00:00:28;00:01:28;00:01:27;
TRAVAGLINI;3054;103;129;151;129;601;9,07;13,68;44,49;44,9;37,61;37,93;61,28;00:29:36;1,23;1,47;4,94;4,23;19,67;4,21;7;6;33;31;1;31;183,16;33,94;27,67;16,12;00:00:19;37,93;00:00:13;00:00:05;00:02:44;00:00:13;00:00:13;00:00:17;00:01:01;00:00:53;
UDHO;2759;95;97;147;139;502;8,52;15,89;21,3;51,26;51,1;40,16;67,06;00:29:02;1,85;1,86;5,31;5,03;18,2;3,53;7;9;45;46;0;46;139,67;33,34;26,29;14,85;00:00:15;40,16;00:00:18;00:00:02;00:02:21;00:00:15;00:00:18;00:00:20;00:01:00;00:00:54;
