;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;1336;67;73;102;96;304;6,36;22,09;10,93;34,6;33,13;62,93;50,32;00:19:48;2,5;2,61;7,75;7,26;22,91;5,56;9,21;8,64;33;29,21;0,14;29,21;115,86;41,24;25,51;7,56;00:00:11;62,93;00:00:12;00:00:01;00:01:22;00:00:11;00:00:12;00:00:14;00:00:41;00:00:38;
BIANCU;1337;68;111;97;96;328;6,45;22,58;9,56;30,22;37,22;64,12;55,24;00:19:39;2,78;2,26;7,26;7,15;24,51;8,32;12;11;33;32;0;32;164,88;42,09;25,13;7,61;00:00:18;64,12;00:00:13;00:00:01;00:01:24;00:00:12;00:00:13;00:00:12;00:00:38;00:00:37;
BOCCIA;1318;66;50;127;126;334;6,56;27,78;2,73;45,71;44,83;64,38;48,93;00:19:51;3,4;3,47;9,6;9,55;25,35;3,8;14;9;42;41;0;41;111,81;45,94;25,36;7,82;00:00:08;64,38;00:00:17;00:00:00;00:01:36;00:00:11;00:00:17;00:00:17;00:00:51;00:00:50;
BRIGNANI;1216;61;60;106;102;306;5,93;24,6;0;33,09;36,8;64,48;45,99;00:19:46;3,03;2,72;8,68;8,39;25,18;4,91;8;5;26;34;0;34;100,6;44,67;23,93;7,04;00:00:09;64,48;00:00:13;00:00:00;00:01:26;00:00:10;00:00:13;00:00:13;00:00:41;00:00:40;
EMERSON;999;51;55;85;72;244;4,85;22,89;12,49;31,11;20,06;73,21;43,9;00:19:34;2,01;3,11;8,55;7,22;24,38;5,53;3;13;27;22;0;22;113,81;43,39;26,17;5,7;00:00:08;73,21;00:00:08;00:00:01;00:01:04;00:00:10;00:00:08;00:00:13;00:00:36;00:00:30;
GIANDONATO;1371;67;35;74;67;225;5,95;14,57;0;17,48;16,57;60,55;27,38;00:20:25;1,21;1,27;5,4;4,87;16,39;2,58;3;3;21;19;0;19;107,6;30,32;23,14;7,3;00:00:06;60,55;00:00:06;00:00:00;00:01:02;00:00:06;00:00:06;00:00:07;00:00:30;00:00:30;
LA ROSA ;1622;82;40;102;95;348;7,55;18,43;0;40,99;32,66;52,8;39,57;00:19:40;2,01;2,53;6,28;5,86;21,43;2,47;9;13;37;30;0;30;159,95;39,24;21,74;8,92;00:00:06;52,8;00:00:13;00:00:00;00:01:37;00:00:10;00:00:13;00:00:17;00:00:41;00:00:38;
LELLA ;1562;80;108;122;111;324;7,55;22,33;22,35;48,64;44,03;53,94;75,85;00:19:34;2,82;3,11;7,83;7,12;20,72;6,9;14;5;37;29;0;29;97,24;39,17;26;8,88;00:00:17;53,94;00:00:15;00:00:03;00:01:28;00:00:17;00:00:15;00:00:18;00:00:48;00:00:44;
MANCINI;1336;67;82;95;98;339;6,36;21,91;5;29,31;35,31;63,2;48,2;00:19:50;2,64;2,19;7,08;7,34;25,35;6,15;8;5;29;25;0;25;119,44;43,94;25,21;7,57;00:00:13;63,2;00:00:12;00:00:00;00:01:31;00:00:11;00:00:12;00:00:10;00:00:35;00:00:37;
PALESI;1488;73;51;117;100;293;6,9;22,41;8,89;42,07;42,38;59,5;51,45;00:20:25;2,85;2,83;7,86;6,72;19,67;3,43;14;12;41;34;0;34;94,42;37,84;24,87;8,46;00:00:08;59,5;00:00:16;00:00:01;00:01:24;00:00:12;00:00:16;00:00:17;00:00:50;00:00:39;
PINNA S.;1367;71;81;108;98;321;6,66;20,55;25,96;36,46;31,7;60,44;49,19;00:19:09;2,32;2,67;7,92;7,2;23,51;5,92;8;8;37;31;1;31;104,08;41,46;26,99;7,65;00:00:12;60,44;00:00:11;00:00:03;00:01:26;00:00:11;00:00:11;00:00:15;00:00:44;00:00:38;
PISANO;905;46;56;88;85;207;4,59;28,44;8,73;31,9;31,28;75,7;44,98;00:19:34;3,46;3,53;9,74;9,4;22,89;6,2;14;12;37;31;0;31;61,87;43,55;26,34;5,4;00:00:08;75,7;00:00:13;00:00:01;00:00:59;00:00:10;00:00:13;00:00:12;00:00:37;00:00:35;
RAGATZU;1199;61;151;95;89;334;5,78;22,03;37,98;26,17;24,93;66,83;66,65;00:19:34;2,08;2,18;7,9;7,46;27,87;12,63;6;8;29;23;1;23;150,87;46,81;28,62;6,79;00:00:23;66,83;00:00:08;00:00:05;00:01:20;00:00:13;00:00:08;00:00:11;00:00:35;00:00:32;
TRAVAGLINI;1612;78;54;121;104;349;7,36;21,2;13,86;42,46;32,96;57,08;52,58;00:20:33;2,04;2,63;7,52;6,47;21,67;3,33;10;14;44;30;0;30;127,91;40,51;28,56;9,07;00:00:08;57,08;00:00:12;00:00:01;00:01:39;00:00:13;00:00:12;00:00:19;00:00:50;00:00:43;
UDHO;1365;70;82;95;96;303;6,46;19,73;5,4;28,74;33,15;65,33;54,55;00:19:34;2,43;2,11;6,93;7,02;22,19;6,02;6;3;22;28;0;28;107,61;39,01;25,09;7,59;00:00:13;65,33;00:00:11;00:00:00;00:01:18;00:00:11;00:00:11;00:00:09;00:00:34;00:00:34;
