;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;2084;111;68;115;116;420;10,03;16,85;7,1;33,08;37,27;31,08;43,01;00:18:47;1,79;1,58;5,51;5,57;20,01;3,2;9,08;4,83;31;36,5;0,08;36,5;132,57;35,01;24,06;11,31;00:00:11;31,08;00:00:14;00:00:00;00:01:59;00:00:10;00:00:14;00:00:13;00:00:48;00:00:50;
BIANCU;2195;117;56;133;108;441;10,61;17,4;2,03;36,28;34,37;26,73;55,8;00:18:47;1,57;1,65;6,08;4,93;20,11;2,55;8;9;26;34;0;34;157,51;36,59;25,55;11,97;00:00:09;26,73;00:00:12;00:00:00;00:02:05;00:00:12;00:00:12;00:00:13;00:00:50;00:00:40;
BRIGNANI;2135;114;39;102;110;395;10,11;15,01;0;26,06;32,8;26,21;26,07;00:18:47;1,54;1,22;4,79;5,14;18,51;1,83;7;2;27;40;0;40;106,28;32,16;22,27;11,4;00:00:06;26,21;00:00:13;00:00:00;00:01:59;00:00:06;00:00:13;00:00:11;00:00:47;00:00:52;
CHIERICO;2260;120;96;110;107;448;10,66;14,52;0,28;29,73;32,11;26,18;37,85;00:18:47;1,42;1,32;4,86;4,75;19,84;4,23;9;3;26;32;0;32;114,44;34,15;24,04;12,02;00:00:15;26,18;00:00:14;00:00:00;00:02:05;00:00:08;00:00:14;00:00:13;00:00:46;00:00:48;
DEMARCUS ;2075;110;0;64;71;293;9,5;11,21;0;17,13;18,43;26,41;10,55;00:18:47;0,89;0,83;3,06;3,4;14,13;0,02;6;2;19;23;0;23;56,92;25,45;19,11;10,72;00:00:00;26,41;00:00:09;00:00:00;00:01:33;00:00:03;00:00:09;00:00:08;00:00:32;00:00:36;
EMERSON;1630;87;3;72;64;190;7,51;11,86;0;15,11;19,21;42,79;10,41;00:18:47;1,18;0,93;4,42;3,91;11,69;0,21;4;2;22;26;0;26;30,18;22,52;20,66;8,47;00:00:00;42,79;00:00:09;00:00:00;00:01:02;00:00:02;00:00:09;00:00:08;00:00:37;00:00:35;
LELLA ;2010;107;68;147;155;446;10,18;23;19,54;57,73;59,86;32,44;60,74;00:18:47;2,98;2,87;7,33;7,73;22,2;3,37;17;8;48;55;1;55;160,43;39,85;25,9;11,48;00:00:10;32,44;00:00:23;00:00:02;00:02:06;00:00:15;00:00:23;00:00:23;00:01:01;00:01:05;
MANCINI;2141;114;59;128;144;509;10,47;18,77;9,31;34,75;46,46;30,85;47,2;00:18:47;2,17;1,62;5,99;6,71;23,76;2,76;11;6;36;39;0;39;180,09;39,96;27,14;11,81;00:00:09;30,85;00:00:17;00:00:01;00:02:20;00:00:11;00:00:17;00:00:13;00:00:48;00:00:58;
OCCHIONI;2195;117;26;121;135;449;10,57;16,95;0;32,49;39,61;27,08;28,63;00:18:47;1,8;1,48;5,53;6,14;20,45;1,19;8;2;32;50;0;50;118,14;35,63;21,38;11,92;00:00:04;27,08;00:00:18;00:00:00;00:02:17;00:00:07;00:00:18;00:00:14;00:00:53;00:01:02;
PALESI;1950;104;89;127;131;414;9,6;19,46;0;36,98;44,69;38,85;52,6;00:18:47;2,29;1,9;6,49;6,73;21,22;4,54;8;8;44;42;0;42;156,25;37,76;23,57;10,82;00:00:14;38,85;00:00:15;00:00:00;00:01:55;00:00:12;00:00:15;00:00:16;00:00:52;00:00:51;
PINNA S.;2123;113;151;138;148;511;10,59;21,15;38,91;48,32;51,94;31,93;84,12;00:18:47;2,45;2,28;6,48;6,96;24,06;7,12;14;11;35;40;0;40;180,92;41,21;27,61;11,94;00:00:23;31,93;00:00:18;00:00:05;00:02:13;00:00:17;00:00:18;00:00:17;00:00:53;00:00:58;
RENAULT ;2150;114;76;109;106;464;10,21;15,32;5,81;22,34;34,16;29,45;31,91;00:18:47;1,59;1,04;5,08;4,91;21,6;3,53;11;2;30;33;0;33;148,98;35,94;24,83;11,51;00:00:12;29,45;00:00:12;00:00:00;00:02:08;00:00:07;00:00:12;00:00:09;00:00:46;00:00:43;
TRAVAGLINI;2138;114;150;129;119;482;10,35;17,51;9,26;40,07;33,61;34,04;70,26;00:18:47;1,57;1,87;6,05;5,57;22,53;7,01;6;3;27;24;0;24;180,69;38,96;26,72;11,67;00:00:24;34,04;00:00:13;00:00:01;00:02:10;00:00:15;00:00:13;00:00:15;00:00:51;00:00:48;
