;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;1154;71;1;65;32;141;6,16;12,32;0;18,01;4,74;56,64;4,15;00:16:16;0,41;1,56;5,63;2,78;12,24;0,07;0,31;2,92;27,38;7;0;7;11,94;24,49;17,47;6,02;00:00:00;56,64;00:00:03;00:00:00;00:00:50;00:00:01;00:00:03;00:00:11;00:00:42;00:00:23;
ARBOLEDA;1161;71;0;81;37;147;6,3;14,13;0;23,87;9,15;56,88;4,54;00:16:16;0,79;2,06;6,96;3,22;12,69;0;1;2;45;5;0;5;3,41;27,11;17,1;6,15;00:00:00;56,88;00:00:05;00:00:00;00:00:56;00:00:01;00:00:05;00:00:14;00:00:50;00:00:25;
BIANCU;1161;71;0;55;27;150;6,14;11,13;0;12,63;2,61;56,95;2,01;00:16:16;0,22;1,09;4,78;2,35;12,91;0;0;1;18;5;0;5;14,55;24,58;17,91;5,99;00:00:00;56,95;00:00:01;00:00:00;00:00:51;00:00:00;00:00:01;00:00:08;00:00:37;00:00:20;
BOCCIA;1221;75;0;67;53;190;6,63;14,2;0;19,75;9,47;55,06;1,3;00:16:16;0,78;1,62;5,47;4,33;15,58;0;1;3;22;19;0;19;7,41;28,41;17,9;6,48;00:00:00;55,06;00:00:06;00:00:00;00:01:05;00:00:00;00:00:06;00:00:13;00:00:45;00:00:37;
CHIERICO;1162;71;0;64;27;130;6,16;11,4;0;18,33;3,35;57,09;5,01;00:16:16;0,29;1,58;5,47;2,36;11,16;0;0;0;21;3;0;3;3,17;23,18;17,48;6,01;00:00:00;57,09;00:00:02;00:00:00;00:00:48;00:00:01;00:00:02;00:00:10;00:00:39;00:00:19;
EMERSON;1265;78;0;69;26;155;6,67;10,93;0;18,04;3,43;53,46;0,55;00:16:16;0,27;1,43;5,46;2,07;12,23;0;0;1;28;4;0;4;0,65;23,88;16,09;6,51;00:00:00;53,46;00:00:03;00:00:00;00:00:57;00:00:00;00:00:03;00:00:13;00:00:47;00:00:22;
LA ROSA ;1223;75;0;52;23;121;6,37;9,43;0;11,6;2,51;54,48;2,59;00:16:16;0,21;0,95;4,28;1,88;9,93;0;0;4;20;5;0;5;6,27;19,78;16,33;6,22;00:00:00;54,48;00:00:02;00:00:00;00:00:44;00:00:00;00:00:02;00:00:07;00:00:33;00:00:19;
LELLA ;1125;69;1;78;37;152;6,19;15,77;0;32,77;5,82;59,74;11,43;00:16:16;0,52;2,91;6,93;3,28;13,49;0,09;1;4;44;9;0;9;17,26;29,67;19,19;6,05;00:00:00;59,74;00:00:04;00:00:00;00:00:54;00:00:04;00:00:04;00:00:19;00:00:48;00:00:24;
MANCINI;1096;67;0;61;21;129;5,79;10,98;0;13,66;0,68;59,79;2,9;00:16:16;0,06;1,25;5,53;1,88;11,81;0;0;3;31;2;0;2;10,84;23,43;18,04;5,65;00:00:00;59,79;00:00:00;00:00:00;00:00:46;00:00:01;00:00:00;00:00:08;00:00:40;00:00:17;
PINNA S.;1188;73;1;72;45;159;6,4;13,27;0;17,49;9,46;52,17;7,82;00:16:16;0,8;1,47;6,1;3,8;13,37;0,09;1;4;27;15;0;15;34,09;25,56;19,25;6,25;00:00:00;52,17;00:00:05;00:00:00;00:00:54;00:00:01;00:00:05;00:00:11;00:00:45;00:00:29;
PISANO;1122;69;0;60;26;115;5,9;10,58;0;17,52;3,7;52,84;2,45;00:16:16;0,33;1,56;5,31;2,28;10,21;0;0;6;25;5;0;5;12,19;20,98;16,77;5,76;00:00:00;52,84;00:00:03;00:00:00;00:00:40;00:00:00;00:00:03;00:00:11;00:00:40;00:00:21;
RAGATZU;1106;68;9;68;40;163;6,02;14,54;0;20,22;6,08;58,39;7,51;00:16:16;0,55;1,83;6,15;3,63;14,78;0,78;0;4;24;10;0;10;44,67;28;20,04;5,88;00:00:01;58,39;00:00:04;00:00:00;00:00:53;00:00:02;00:00:04;00:00:11;00:00:44;00:00:30;
TRAVAGLINI;1124;69;0;59;29;113;5,99;11,94;0;18,81;3,79;57,2;5,08;00:16:16;0,34;1,67;5,23;2,57;10,09;0;0;2;23;5;0;5;0,75;21,75;16,25;5,84;00:00:00;57,2;00:00:02;00:00:00;00:00:42;00:00:01;00:00:02;00:00:11;00:00:37;00:00:20;
UDHO;1049;64;0;58;26;114;5,58;11,82;0;9,49;1,57;62,21;0,71;00:16:16;0,15;0,9;5,55;2,47;10,87;0;0;4;28;4;0;4;0;22,06;14,82;5,45;00:00:00;62,21;00:00:01;00:00:00;00:00:44;00:00:00;00:00:01;00:00:06;00:00:39;00:00:19;
