;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;7345;92;519;358;318;1959;8,1;13,99;27,3;108,03;101,47;49,15;135,08;01:20:01;1,37;1,46;4,85;4,32;26,53;6,96;33,64;29,5;116,07;102,14;0,57;102,14;1178,31;40,99;25,86;38,91;00:01:27;49,15;00:00:42;00:00:03;00:08:04;00:00:32;00:00:42;00:00:47;00:02:31;00:02:15;
BIANCU;7645;89;555;400;349;1925;7,96;15,45;1,82;130,77;110,33;50,9;149,82;01:25:47;1,44;1,71;5,23;4,57;25,19;7,25;40;33;136;98;0;98;1117,5;40,53;24,31;40,99;00:01:33;50,9;00:00:46;00:00:00;00:08:04;00:00:37;00:00:46;00:00:54;00:02:46;00:02:22;
BOCCIA;8435;98;944;531;478;2494;9;18,26;61,44;157,29;169,35;46,73;253,04;01:25:47;2,01;1,86;6,29;5,67;29,57;11,19;55;53;168;142;0;142;1331,41;45,89;26,4;46,32;00:02:36;46,73;00:01:08;00:00:08;00:10:06;00:00:59;00:01:08;00:01:05;00:03:29;00:03:12;
BRIGNANI;8444;98;663;391;347;2387;8,68;13,91;17,64;126,31;115,95;44,96;142,78;01:25:47;1,37;1,5;4,64;4,11;28,26;7,86;45;44;123;124;1;124;1431,09;42,81;26,56;44,67;00:01:52;44,96;00:00:48;00:00:02;00:09:48;00:00:35;00:00:48;00:00:56;00:02:47;00:02:28;
EMERSON;7578;88;831;348;304;1865;7,72;12,86;17,5;100,16;99,59;49,8;113,5;01:25:47;1,31;1,32;4,59;4,02;24,61;10,96;43;28;119;101;0;101;1139,32;37,52;25,26;39,72;00:02:20;49,8;00:00:44;00:00:02;00:07:23;00:00:27;00:00:44;00:00:48;00:02:37;00:02:14;
GIANDONATO;6221;78;16;184;168;1230;6,56;8,72;0;40,6;46,41;55,26;23,36;01:19:45;0,75;0,65;2,96;2,7;19,77;0,25;12;8;61;61;0;61;690,09;30,54;21,09;31,41;00:00:02;55,26;00:00:23;00:00:00;00:05:24;00:00:06;00:00:23;00:00:20;00:01:31;00:01:28;
LA ROSA ;8220;96;619;347;264;2191;8,24;11,09;0;93,1;57,61;46,13;110,27;01:25:47;0,7;1,13;4,23;3,22;26,65;7,54;16;23;107;75;0;75;1286,2;40,38;23,77;42,41;00:01:44;46,13;00:00:26;00:00:00;00:08:54;00:00:26;00:00:26;00:00:41;00:02:24;00:01:54;
LELLA ;6142;98;747;332;276;1932;8,7;14,66;68,3;101,38;90,12;48,46;152,13;01:02:39;1,47;1,65;5,41;4,5;31,45;12,16;34;29;112;89;1;89;1405,6;46,45;27,72;32,71;00:02:05;48,46;00:00:36;00:00:09;00:07:22;00:00:34;00:00:36;00:00:41;00:02:16;00:01:47;
MANCINI;7874;92;190;353;335;2077;8,03;13,08;9,46;96,9;105,14;49,92;98,38;01:25:47;1,34;1,23;4,49;4,25;26,37;2,41;29;25;119;100;0;100;1154,98;40,82;26,31;41,35;00:00:32;49,92;00:00:44;00:00:01;00:08:58;00:00:24;00:00:44;00:00:43;00:02:31;00:02:19;
PALESI;7708;90;397;346;335;2065;7,91;13,7;110,76;99,18;114,63;51,91;138,26;01:25:47;1,49;1,29;4,49;4,35;26,8;5,16;34;18;118;114;4;114;1031,97;40,96;29,1;40,7;00:01:02;51,91;00:00:46;00:00:14;00:08:39;00:00:30;00:00:46;00:00:45;00:02:35;00:02:21;
PINNA S.;4640;96;113;203;156;1393;8,3;11,76;0;54,41;48,24;49,08;47,14;00:48:20;1,04;1,17;4,38;3,36;30,01;2,43;16;14;71;58;0;58;1063,4;43,91;23,74;24,08;00:00:19;49,08;00:00:23;00:00:00;00:05:41;00:00:12;00:00:23;00:00:26;00:01:31;00:01:14;
PISANO;8088;94;596;433;433;2240;8,51;16,62;19,56;136,2;165,04;47,14;191,08;01:25:47;2,04;1,68;5,35;5,36;27,7;7,37;70;37;137;152;1;152;1331,79;43,04;27,68;43,8;00:01:40;47,14;00:01:05;00:00:02;00:09:20;00:00:45;00:01:05;00:00:57;00:02:57;00:02:59;
RAGATZU;7749;90;781;431;391;2079;8,11;16,05;20,78;145,43;118,53;48,12;202,59;01:25:47;1,53;1,88;5,56;5,05;26,83;10,08;38;38;139;132;0;132;1273,67;42,37;26,29;41,76;00:02:12;48,12;00:00:49;00:00:02;00:08:24;00:00:48;00:00:49;00:01:01;00:02:58;00:02:47;
TRAVAGLINI;7835;91;462;396;332;1910;8,04;13,8;39,83;135,33;90,07;47,68;150,51;01:25:47;1,15;1,73;5,05;4,23;24,37;5,9;19;33;121;102;1;102;1128,86;39,27;27,3;41,41;00:01:18;47,68;00:00:40;00:00:05;00:08:08;00:00:37;00:00:40;00:00:58;00:02:46;00:02:20;
UDHO;6252;87;347;314;289;1636;7,75;14,88;15,16;95,38;89,56;52,83;118,28;01:11:42;1,43;1,53;5,02;4,62;26,17;5,54;20;30;94;82;0;82;1110,46;41,52;26,46;33,35;00:00:59;52,83;00:00:36;00:00:02;00:06:49;00:00:28;00:00:36;00:00:43;00:02:12;00:01:59;
