;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;2317;108;71;120;124;461;9,71;15,79;10,86;34,28;40,71;31,81;44,76;00:21:24;1,73;1,45;5,12;5,31;19,54;2,95;8,93;5,36;32,79;37,36;0,21;37,36;144,7;34,07;24,32;12,48;00:00:11;31,81;00:00:15;00:00:01;00:02:10;00:00:10;00:00:15;00:00:13;00:00:49;00:00:51;
BIANCU;2475;116;84;144;145;530;10,56;18,07;21,19;44,72;52,75;26,43;63,95;00:21:24;2,13;1,81;5,83;5,87;21,42;3,39;14;4;36;41;1;41;210,05;37,86;26,99;13,57;00:00:13;26,43;00:00:18;00:00:02;00:02:24;00:00:14;00:00:18;00:00:14;00:00:49;00:00:52;
BOCCIA;2522;118;58;158;164;560;10,83;18,77;18,01;46,01;52,62;26,56;60,92;00:21:24;2,09;1,82;6,27;6,49;22,19;2,29;8;10;44;61;0;61;148,83;39,08;26,24;13,91;00:00:09;26,56;00:00:21;00:00:02;00:02:42;00:00:14;00:00:21;00:00:18;00:01:03;00:01:08;
BRIGNANI;2569;120;60;124;103;508;10,54;13,5;0;37,85;27,25;23,98;36,14;00:21:24;1,06;1,47;4,83;4,01;19,78;2,35;5;6;32;28;0;28;166,35;34,53;22,05;13,54;00:00:10;23,98;00:00:10;00:00:00;00:02:26;00:00:09;00:00:10;00:00:15;00:00:53;00:00:44;
EMERSON;2179;102;48;94;109;375;8,99;14,06;1,41;24,88;35,67;34,04;23,69;00:21:24;1,64;1,14;4,33;5;17,19;2,21;8;4;31;41;0;41;102,24;29,91;24,67;11,54;00:00:08;34,04;00:00:16;00:00:00;00:01:48;00:00:06;00:00:16;00:00:12;00:00:46;00:00:52;
GIANDONATO;1962;92;0;40;48;202;7,62;7,38;0;6,28;9,1;38,82;2,72;00:21:24;0,46;0,32;2,06;2,43;10,29;0;1;0;7;12;0;12;28;18,48;17,71;9,78;00:00:00;38,82;00:00:04;00:00:00;00:01:03;00:00:00;00:00:04;00:00:02;00:00:18;00:00:23;
LA ROSA ;2583;121;66;124;123;512;10,65;14,06;0;27,11;37,81;22,88;33,91;00:21:24;1,46;1,05;4,81;4,77;19,84;2,55;7;5;31;37;0;37;133,09;34,23;23,26;13,68;00:00:11;22,88;00:00:14;00:00:00;00:02:27;00:00:08;00:00:14;00:00:12;00:00:51;00:00:50;
LELLA ;2450;114;89;143;147;551;10,57;19,37;9,04;41,33;64,83;28,19;61,63;00:21:24;2,65;1,69;5,83;5,99;22,48;3,63;17;4;37;51;0;51;200,94;38,64;24,84;13,58;00:00:14;28,19;00:00:24;00:00:01;00:02:32;00:00:14;00:00:24;00:00:16;00:00:55;00:00:59;
MANCINI;2263;106;42;121;135;412;9,56;16,89;0;33,08;45,02;30,5;41,69;00:21:24;1,99;1,46;5,36;5,96;18,21;1,85;10;5;30;45;0;45;136,22;32,58;23,21;12,28;00:00:07;30,5;00:00:18;00:00:00;00:02:00;00:00:10;00:00:18;00:00:13;00:00:52;00:00:59;
PALESI;2351;110;152;137;137;534;10;17,69;45,18;42,27;45,58;35,7;70,11;00:21:24;1,94;1,8;5,81;5,83;22,72;6,45;12;7;40;45;1;45;166,78;38,46;30,05;12,85;00:00:23;35,7;00:00:16;00:00:06;00:02:22;00:00:15;00:00:16;00:00:16;00:00:55;00:00:54;
PINNA S.;2474;116;144;148;168;604;10,68;19,48;43,45;46,13;61,4;29,84;76,05;00:21:24;2,48;1,86;5,98;6,78;24,43;5,83;17;6;43;49;1;49;184,37;40,64;28,5;13,73;00:00:22;29,84;00:00:21;00:00:05;00:02:41;00:00:16;00:00:21;00:00:16;00:00:56;00:01:04;
PISANO;1952;91;31;77;76;257;7,88;11,62;0;15,7;21,58;39,49;15,42;00:21:24;1,11;0,8;3,95;3,89;13,14;1,61;5;1;25;23;0;23;68,75;23,91;23,95;10,12;00:00:05;39,49;00:00:09;00:00:00;00:01:19;00:00:03;00:00:09;00:00:07;00:00:38;00:00:38;
RAGATZU;2176;102;103;129;135;486;9,27;17,83;12,17;38,63;44,5;36;57,57;00:21:24;2,05;1,78;5,94;6,2;22,33;4,73;10;10;43;36;0;36;178,87;38,78;26,01;11,9;00:00:16;36;00:00:16;00:00:01;00:02:11;00:00:13;00:00:16;00:00:16;00:00:51;00:00:54;
TRAVAGLINI;2565;120;114;155;149;639;10,92;17,82;1,67;49,34;41,47;31;67,38;00:21:24;1,62;1,92;6,03;5,83;24,92;4,43;7;8;32;29;0;29;248,68;42,34;24,14;14,03;00:00:18;31;00:00:14;00:00:00;00:02:53;00:00:15;00:00:14;00:00:18;00:00:57;00:00:55;
UDHO;1912;89;0;88;100;279;7,91;14,48;0;26,59;30,4;41,87;15,46;00:21:24;1,59;1,39;4,62;5,23;14,61;0;4;5;28;25;0;25;52,65;27,56;18,92;10,16;00:00:00;41,87;00:00:12;00:00:00;00:01:28;00:00:04;00:00:12;00:00:12;00:00:41;00:00:45;
