;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;659;133;34;40;43;173;12,23;19,04;5,17;11,19;14,8;22,14;16,45;00:04:58;2,21;1,67;6,07;6,51;26,02;4,99;3,36;1,45;11,73;13,64;0,18;13,64;56,39;42,63;23,82;3,65;00:00:05;22,14;00:00:05;00:00:00;00:00:47;00:00:03;00:00:05;00:00:04;00:00:15;00:00:17;
ARBOLEDA;709;143;52;46;54;214;13,54;22,23;12,67;13,06;24,7;20;22,35;00:04:57;3,48;1,84;6,5;7,64;30,25;7,28;6;2;14;19;0;19;68,93;47,6;27,67;4,02;00:00:08;20;00:00:08;00:00:01;00:00:58;00:00:04;00:00:08;00:00:05;00:00:18;00:00:21;
BRIGNANI;695;140;15;40;42;197;12,78;17,64;0;9,31;14,33;18,61;10;00:04:57;2,06;1,34;5,82;6,11;28,31;2,21;3;2;11;15;0;15;67,97;44,74;20,25;3,8;00:00:02;18,61;00:00:05;00:00:00;00:00:54;00:00:02;00:00:05;00:00:03;00:00:16;00:00:17;
CHIERICO;716;145;48;48;53;197;13,62;21,79;2,54;14,12;22,53;16,28;24,12;00:04:57;3,15;1,97;6,76;7,45;27,54;6,74;7;2;12;20;0;20;84,26;44,87;24,82;4,05;00:00:08;16,28;00:00:08;00:00:00;00:00:52;00:00:05;00:00:08;00:00:05;00:00:18;00:00:21;
EMERSON;598;121;10;29;37;138;10,85;16,11;0;6,23;11,15;25,1;4,39;00:04:57;1,86;1,04;4,93;6,12;23,08;1,69;4;2;10;15;0;15;26,8;37,29;22,35;3,22;00:00:01;25,1;00:00:04;00:00:00;00:00:40;00:00:00;00:00:04;00:00:03;00:00:13;00:00:15;
GIANDONATO;544;106;4;18;26;95;9,21;12,47;0;4,4;5,01;33,9;3,93;00:05:08;0,92;0,81;3,32;4,74;17,52;0,73;0;0;5;10;0;10;27,86;29,71;20,62;2,84;00:00:00;33,9;00:00:02;00:00:00;00:00:27;00:00:01;00:00:02;00:00:02;00:00:08;00:00:11;
LELLA ;661;134;35;50;51;193;12,81;23,9;1,67;14,59;20,91;21,26;15,2;00:04:57;3,16;2,21;7,52;7,78;29,14;5,29;5;1;17;15;0;15;63,72;47,4;24,22;3,8;00:00:05;21,26;00:00:08;00:00:00;00:00:53;00:00:03;00:00:08;00:00:06;00:00:20;00:00:20;
PINNA S.;718;145;40;48;43;197;13,43;19,65;18,45;12,84;14,01;15,79;26,78;00:04:57;1,95;1,79;6,63;6,02;27,42;5,59;3;3;15;11;1;11;66,09;45,2;27,01;3,99;00:00:06;15,79;00:00:04;00:00:02;00:00:52;00:00:05;00:00:04;00:00:04;00:00:16;00:00:16;
PISANO;706;143;90;37;33;200;12,62;14,42;14,35;12,16;8,99;20,51;21,46;00:04:57;1,27;1,72;5,3;4,64;28,32;12,8;1;2;9;7;1;7;89,93;44,61;24,87;3,75;00:00:14;20,51;00:00:02;00:00:02;00:00:47;00:00:04;00:00:02;00:00:04;00:00:12;00:00:11;
RAGATZU;617;124;18;37;39;162;11,41;18,92;0;8,11;12,52;26;15,26;00:04:58;2,03;1,31;5,96;6,27;26,25;2,89;3;0;13;12;0;12;43,21;43,58;22,93;3,41;00:00:02;26;00:00:04;00:00:00;00:00:44;00:00:03;00:00:04;00:00:03;00:00:13;00:00:15;
TRAVAGLINI;685;138;62;49;55;176;13,05;21,89;7,17;16,12;16,1;19,66;29,41;00:04:57;2,35;2,35;7,22;8,07;25,66;9,06;3;0;8;15;0;15;62,79;43,83;26,42;3,88;00:00:10;19,66;00:00:05;00:00:00;00:00:46;00:00:06;00:00:05;00:00:05;00:00:17;00:00:19;
UDHO;603;122;5;42;41;139;11,38;20,65;0;12,1;12,58;25,95;8,07;00:04:57;2,08;2;6,91;6,8;23,08;0,8;2;2;15;11;0;11;18,68;40,58;20,92;3,38;00:00:00;25,95;00:00:05;00:00:00;00:00:43;00:00:02;00:00:05;00:00:05;00:00:18;00:00:17;
