;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;813;61;16;49;41;145;5,41;15,06;0,09;13,32;10,41;64,98;18,26;00:13:23;1,28;1,64;6,05;5,1;17,86;1,93;2,73;3,09;17,45;12,27;0;12,27;76,89;32,86;21,34;4,35;00:00:02;64,98;00:00:03;00:00:00;00:00:39;00:00:04;00:00:03;00:00:05;00:00:21;00:00:16;
ARBOLEDA;825;63;32;68;29;150;5,6;15,49;0;25,55;6,89;62,27;31,76;00:13:10;0,84;3,1;8,21;3,5;18,2;3,9;2;11;20;5;0;5;110,63;35,83;21,37;4,43;00:00:05;62,27;00:00:02;00:00:00;00:00:39;00:00:07;00:00:02;00:00:10;00:00:27;00:00:12;
BIANCU;732;55;0;39;30;124;4,79;13,18;0;12,09;6,15;72,13;11,04;00:13:22;0,84;1,65;5,36;4,14;16,99;0;1;2;17;11;0;11;49,6;30,85;18,78;3,85;00:00:00;72,13;00:00:02;00:00:00;00:00:35;00:00:02;00:00:02;00:00:05;00:00:18;00:00:13;
BOCCIA;1054;70;20;53;47;170;6,16;13,06;0,98;9,92;9,59;55,45;17,48;00:14:58;0,91;0,94;4,99;4,45;16,14;1,87;3;3;13;14;0;14;63,12;29,34;24,32;5,54;00:00:03;55,45;00:00:04;00:00:00;00:00:47;00:00:04;00:00:04;00:00:04;00:00:24;00:00:19;
BRIGNANI;835;62;24;53;47;166;5,56;16,63;0;14,59;9,9;64,81;18,86;00:13:34;1,19;1,75;6,35;5,68;19,94;2,91;3;2;24;16;0;16;97,44;36,7;20,71;4,52;00:00:04;64,81;00:00:03;00:00:00;00:00:44;00:00:04;00:00:03;00:00:06;00:00:22;00:00:17;
CHIERICO;776;60;14;41;33;108;5,26;13,67;0;15,68;9,33;63,62;20,7;00:12:59;1,2;2,02;5,33;4,24;13,97;1,75;3;2;13;10;0;10;46;27,58;21,01;4,1;00:00:02;63,62;00:00:03;00:00:00;00:00:31;00:00:05;00:00:03;00:00:06;00:00:18;00:00:15;
LELLA ;867;63;19;61;48;128;5,7;17,48;0;21,95;12,49;64,24;31,13;00:13:50;1,44;2,53;7;5,54;14,71;2,16;4;4;20;16;0;16;78,31;30,57;21,26;4,73;00:00:03;64,24;00:00:04;00:00:00;00:00:33;00:00:07;00:00:04;00:00:07;00:00:23;00:00:19;
MANCINI;805;62;27;50;51;162;5,62;17,03;0;8,67;22,14;66,81;19,98;00:12:59;2,75;1,08;6,26;6,38;20,12;3,4;8;1;19;17;0;17;76,43;34,93;22,03;4,38;00:00:04;66,81;00:00:07;00:00:00;00:00:43;00:00:04;00:00:07;00:00:03;00:00:19;00:00:17;
PINNA S.;809;61;26;42;39;154;5,25;12;0;4,27;7,9;64,75;12,18;00:13:21;0,98;0,53;5,23;4,78;19,04;3,24;0;1;11;11;0;11;113,29;32,45;20,68;4,21;00:00:04;64,75;00:00:02;00:00:00;00:00:38;00:00:02;00:00:02;00:00:01;00:00:16;00:00:13;
PISANO;682;52;3;28;39;129;4,54;12,58;0;6,4;5,43;67,32;0,92;00:13:04;0,8;0,94;4,04;5,71;18,95;0,46;0;0;14;8;0;8;50,52;32,68;20,06;3,56;00:00:00;67,32;00:00:01;00:00:00;00:00:35;00:00:00;00:00:01;00:00:03;00:00:15;00:00:15;
TRAVAGLINI;804;62;6;54;35;149;5,49;14,56;0;14;5,12;66,23;16,68;00:12:59;0,64;1,74;6,68;4,39;18,5;0,8;0;5;18;4;0;4;96,92;33,87;22,09;4,28;00:00:01;66,23;00:00:01;00:00:00;00:00:39;00:00:04;00:00:01;00:00:05;00:00:22;00:00:14;
UDHO;758;58;6;55;56;154;5,43;20,15;0;13,44;19,58;68,52;20,11;00:12:59;2,58;1,77;7,2;7,42;20,3;0,73;6;3;23;23;0;23;63,57;37,17;22,47;4,23;00:00:00;68,52;00:00:07;00:00:00;00:00:43;00:00:04;00:00:07;00:00:05;00:00:22;00:00:21;
