;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;721;100;5;39;40;128;9,02;16,63;0;11,47;12,88;37,21;9,62;00:07:14;1,73;1,55;5,26;5,42;17,03;0,65;2,6;2,47;11,87;13,47;0;13,47;29,49;31,45;19,71;3,92;00:00:00;37,21;00:00:05;00:00:00;00:00:39;00:00:02;00:00:05;00:00:04;00:00:17;00:00:18;
BIANCU;817;113;4;45;38;156;10,24;17,41;0;13,49;13,79;30,8;14,3;00:07:15;1,69;1,65;5,49;4,7;19,12;0,55;3;2;11;12;0;12;48,73;35,36;20,47;4,45;00:00:00;30,8;00:00:05;00:00:00;00:00:47;00:00:03;00:00:05;00:00:05;00:00:18;00:00:16;
BOCCIA;827;114;13;63;62;186;10,82;22,6;0;21,63;22,53;27,7;21,01;00:07:15;2,72;2,62;7,62;7,48;22,49;1,59;6;5;24;22;0;22;52,18;41,38;23,58;4,71;00:00:02;27,7;00:00:08;00:00:00;00:00:56;00:00:05;00:00:08;00:00:08;00:00:25;00:00:26;
BRIGNANI;761;105;7;40;41;136;9,34;15,01;0;10,18;10,44;31,13;10,24;00:07:15;1,37;1,34;5,2;5,38;17,91;0,88;2;2;11;12;0;12;31,58;32,01;20,15;4,06;00:00:01;31,13;00:00:04;00:00:00;00:00:42;00:00:02;00:00:04;00:00:04;00:00:17;00:00:19;
EMERSON;690;95;6;27;33;103;8,31;12,83;0;5,66;8,87;37,33;6,56;00:07:15;1,29;0,82;3,89;4,82;14,88;0,83;0;1;5;12;0;12;27,08;27,43;21,01;3,61;00:00:01;37,33;00:00:03;00:00:00;00:00:31;00:00:01;00:00:03;00:00:02;00:00:11;00:00:15;
GIANDONATO;647;89;0;24;25;79;7,73;11,84;0;5,47;6,88;41,8;2,73;00:07:15;1,06;0,84;3,75;3,88;12,26;0;1;0;7;8;0;8;10,46;23,06;17,88;3,36;00:00:00;41,8;00:00:03;00:00:00;00:00:25;00:00:00;00:00:03;00:00:02;00:00:12;00:00:13;
LA ROSA ;858;118;0;35;35;148;10,4;13,57;0;9,48;9,19;24,28;8,59;00:07:15;1,07;1,1;4,06;4,06;17,2;0;2;1;6;9;0;9;15,82;31,2;18,79;4,53;00:00:00;24,28;00:00:04;00:00:00;00:00:46;00:00:02;00:00:04;00:00:03;00:00:14;00:00:16;
LELLA ;848;117;4;46;57;171;10,75;18,84;0;13,42;18,41;25,97;11,09;00:07:15;2,17;1,58;5,38;6,73;20,22;0,47;5;0;14;20;0;20;30,8;35,94;20,59;4,68;00:00:00;25,97;00:00:07;00:00:00;00:00:53;00:00:03;00:00:07;00:00:05;00:00:19;00:00:25;
MANCINI;502;72;0;21;17;40;6,2;11,03;0;4,46;3,82;53,03;0,5;00:06:57;0,76;0,89;4,21;3,48;7,95;0;0;0;4;7;0;7;0;16,14;14,75;2,59;00:00:00;53,03;00:00:02;00:00:00;00:00:15;00:00:00;00:00:02;00:00:02;00:00:14;00:00:12;
OCCHIONI;885;122;5;44;60;197;11,08;17,35;0;9,21;16,79;26,34;5,25;00:07:15;1,9;1,04;4,99;6,82;22,3;0,56;1;1;11;17;0;17;23,37;37,95;19,57;4,82;00:00:00;26,34;00:00:07;00:00:00;00:01:00;00:00:01;00:00:07;00:00:03;00:00:19;00:00:25;
PALESI;602;83;2;34;36;98;7,7;19,96;0;11,62;13,8;48,7;5,97;00:07:15;2,29;1,93;5,59;5,94;16,32;0,31;4;3;13;13;0;13;12,17;32,26;19,4;3,35;00:00:00;48,7;00:00:06;00:00:00;00:00:32;00:00:01;00:00:06;00:00:05;00:00:16;00:00:17;
PINNA S.;651;90;8;37;37;111;8,19;17,89;0;12,34;12,65;44,34;12,56;00:07:15;1,94;1,89;5,63;5,62;17,05;1,17;3;2;11;13;0;13;32,13;32,87;20,24;3,57;00:00:01;44,34;00:00:05;00:00:00;00:00:34;00:00:03;00:00:05;00:00:05;00:00:15;00:00:17;
PISANO;461;64;0;16;17;33;5,45;10,61;0;3,36;4,27;60,01;0;00:07:15;0,93;0,73;3,41;3,72;7,26;0;0;2;4;9;0;9;2,55;14,23;16,5;2,37;00:00:00;60,01;00:00:02;00:00:00;00:00:12;00:00:00;00:00:02;00:00:02;00:00:10;00:00:12;
RAGATZU;609;84;1;33;28;88;7,57;16,42;0;10,61;10,78;45,54;7,82;00:07:15;1,77;1,74;5,45;4,61;14,48;0,15;1;1;13;10;0;10;14,57;29,38;19,33;3,29;00:00:00;45,54;00:00:05;00:00:00;00:00:28;00:00:02;00:00:05;00:00:04;00:00:16;00:00:14;
RENAULT ;837;115;18;68;62;201;11,04;23,65;0;22,27;25,62;30,85;19,94;00:07:15;3,06;2,66;8,07;7,43;24,05;2,13;7;10;25;26;0;26;79,71;42,32;21,95;4,81;00:00:03;30,85;00:00:10;00:00:00;00:00:58;00:00:05;00:00:10;00:00:09;00:00:30;00:00:28;
TRAVAGLINI;815;112;8;49;53;176;10,45;20,25;0;18,93;15,33;31,02;17,76;00:07:15;1,88;2,32;6,05;6,5;21,64;1,03;4;7;19;12;0;12;61,26;39,64;21,37;4,55;00:00:01;31,02;00:00:06;00:00:00;00:00:53;00:00:04;00:00:06;00:00:08;00:00:21;00:00:22;
