;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;3562;94;298;183;197;910;8,45;16,34;55,43;49,59;66,21;46,84;95,55;00:37:58;1,85;1,39;5,12;5,5;25,23;8,17;15,5;7,58;46,42;57,58;1,17;57,58;346,46;40,1;27,17;19,26;00:00:47;46,84;00:00:24;00:00:07;00:03:48;00:00:20;00:00:24;00:00:20;00:01:16;00:01:20;
BIANCU;3217;95;309;191;192;826;8,72;18,53;60,83;54,03;63,79;46,85;118,02;00:33:51;1,98;1,68;5,94;5,96;25,66;9,59;13;9;42;54;1;54;325,69;41,86;27,92;17,71;00:00:49;46,85;00:00:21;00:00:08;00:03:22;00:00:24;00:00:21;00:00:20;00:01:11;00:01:10;
BOCCIA;4203;103;430;241;261;1209;9,39;17,56;109,68;54,75;76,86;43,77;142,2;00:40:43;1,83;1,3;5,74;6,21;28,77;10,23;15;7;57;74;2;74;424,1;44,6;28,35;22,95;00:01:07;43,77;00:00:27;00:00:14;00:04:58;00:00:27;00:00:27;00:00:23;00:01:38;00:01:45;
BRIGNANI;3727;91;280;166;192;954;8,14;14,99;49,86;42,26;66,03;48,31;74,14;00:40:44;1,77;1,13;4,45;5,15;25,61;7,5;21;5;39;61;1;61;354,08;40,08;27,08;19,91;00:00:44;48,31;00:00:24;00:00:06;00:04:03;00:00:15;00:00:24;00:00:18;00:01:13;00:01:20;
EMERSON;3055;90;221;158;161;674;8,12;16,23;60,93;42,66;64,22;44,19;64,55;00:33:51;2,1;1,4;5,16;5,28;22,06;7,22;17;6;46;52;1;52;233,65;36,12;26,72;16,49;00:00:34;44,19;00:00:25;00:00:08;00:02:52;00:00:14;00:00:25;00:00:19;00:01:11;00:01:11;
GIANDONATO;3002;73;49;117;127;462;6,35;12,07;0;29,29;40,92;55,65;28,17;00:40:59;1,36;0,98;3,9;4,22;15,4;1,64;8;5;38;38;0;38;172,85;26,87;23,52;15,62;00:00:08;55,65;00:00:18;00:00:00;00:02:13;00:00:06;00:00:18;00:00:14;00:01:01;00:01:04;
LA ROSA ;3325;98;165;121;136;823;8,55;12,42;6,75;27,5;39,78;43,57;44,99;00:33:51;1,2;0,83;3,64;4,1;24,74;4,95;9;5;26;35;0;35;314,6;38,49;26;17,36;00:00:27;43,57;00:00:15;00:00:00;00:03:37;00:00:10;00:00:15;00:00:12;00:00:51;00:00:56;
LELLA ;3675;90;356;230;237;931;8,27;19,19;69,24;78,42;82;50,19;134,99;00:41:00;2,23;2,13;6,25;6,46;25,32;9,7;20;16;71;64;1;64;379,33;41,26;30,66;20,34;00:00:56;50,19;00:00:29;00:00:09;00:03:46;00:00:28;00:00:29;00:00:32;00:01:38;00:01:39;
MANCINI;3545;86;217;200;203;863;7,83;17,3;15,53;54,4;65,26;51,14;95,45;00:41:06;1,84;1,53;5,65;5,73;24,35;6,13;16;13;53;61;0;61;279,65;40,13;25,13;19,31;00:00:34;51,14;00:00:24;00:00:02;00:03:45;00:00:21;00:00:24;00:00:22;00:01:22;00:01:23;
PALESI;3380;100;419;196;206;924;9,11;17,92;108,95;57,09;63,43;45,94;123,84;00:33:51;1,88;1,69;5,79;6,09;27,35;12,41;16;8;51;60;4;60;291,66;42,87;28,74;18,51;00:01:05;45,94;00:00:23;00:00:14;00:03:45;00:00:23;00:00:23;00:00:22;00:01:18;00:01:20;
PINNA S.;3689;90;302;181;207;938;8,13;16,28;43,36;47,71;76,6;47,71;94,58;00:40:51;2,08;1,29;4,91;5,62;25,43;8,19;19;4;36;65;1;65;406,93;39,97;27,52;19,92;00:00:48;47,71;00:00:28;00:00:05;00:03:55;00:00:20;00:00:28;00:00:18;00:01:15;00:01:29;
RENAULT ;4268;104;582;202;256;1370;9,44;17,32;118,26;48,31;94,64;44,08;126,35;00:41:02;2,22;1,13;4,73;6,01;32,11;13,63;27;5;53;77;3;77;560,41;46,93;28,9;23,25;00:01:31;44,08;00:00:33;00:00:16;00:05:19;00:00:25;00:00:33;00:00:19;00:01:21;00:01:35;
TRAVAGLINI;3653;108;251;194;183;948;9,71;16,23;21,8;58,72;60,94;37,97;99,38;00:33:51;1,67;1,61;5,31;5,02;25,96;6,87;5;8;45;50;0;50;414,61;42,17;25,47;19,72;00:00:41;37,97;00:00:22;00:00:03;00:04:04;00:00:22;00:00:22;00:00:24;00:01:15;00:01:11;
