;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;862;57;0;67;62;75;5,37;21,85;0;21,71;17,81;64,89;4,16;00:15:09;2,05;2,49;7,73;7,11;8,62;0,04;3;3;27,42;25,92;0;25,92;1,93;20,51;15,7;4,88;00:00:00;64,89;00:00:11;00:00:00;00:00:33;00:00:01;00:00:11;00:00:14;00:00:49;00:00:47;
ARBOLEDA;879;58;0;82;87;103;5,94;32,02;0;36,69;36,16;63,05;10,26;00:15:07;4,12;4,18;9,38;9,87;11,71;0;7;6;40;50;0;50;0;28,91;14,38;5,39;00:00:00;63,05;00:00:22;00:00:00;00:00:45;00:00:04;00:00:22;00:00:23;00:00:56;00:01:00;
BRIGNANI;934;62;0;63;51;85;5,58;16,56;0;14,93;7,55;61,68;0,8;00:15:06;0,81;1,6;6,71;5,49;9,13;0;0;1;24;15;0;15;6,95;19,59;17,12;5,06;00:00:00;61,68;00:00:05;00:00:00;00:00:35;00:00:00;00:00:05;00:00:10;00:00:46;00:00:39;
CHIERICO;947;63;0;75;62;91;5,94;21,99;0;24,18;18,49;60,83;6,86;00:15:02;1,95;2,55;7,92;6,52;9,57;0;3;5;28;25;0;25;1,72;23,34;16,75;5,36;00:00:00;60,83;00:00:11;00:00:00;00:00:39;00:00:02;00:00:11;00:00:15;00:00:51;00:00:45;
EMERSON;1032;64;0;69;62;82;5,92;18,72;0;21,42;15,02;59,54;1,64;00:16:01;1,46;2,08;6,67;6,03;7,95;0;2;2;23;22;0;22;0;18,85;14,82;5,69;00:00:00;59,54;00:00:10;00:00:00;00:00:37;00:00:00;00:00:10;00:00:16;00:00:53;00:00:48;
GIANDONATO;728;48;0;34;28;17;4,16;12,93;0;7,68;3,21;71;0,81;00:15:16;0,44;1,06;4,66;3,79;2,35;0;0;0;13;4;0;4;0;6,65;10,87;3,82;00:00:00;71;00:00:03;00:00:00;00:00:09;00:00:00;00:00:03;00:00:06;00:00:33;00:00:30;
LELLA ;841;56;0;71;65;66;5,38;24,01;0;27,76;18,39;66,05;7,05;00:14:59;2,19;3,3;8,38;7,68;7,84;0;3;8;34;22;0;22;1,22;21,48;16,53;4,85;00:00:00;66,05;00:00:12;00:00:00;00:00:31;00:00:02;00:00:12;00:00:18;00:00:52;00:00:49;
MANCINI;773;51;0;60;59;71;4,83;21,76;0;16,83;19,05;69,06;4,45;00:15:03;2,47;2,18;7,73;7,68;9,15;0;2;1;21;24;0;24;0;21,16;15,88;4,37;00:00:00;69,06;00:00:11;00:00:00;00:00:28;00:00:01;00:00:11;00:00:09;00:00:41;00:00:41;
PINNA S.;924;62;0;96;93;111;6,15;29,13;0;33,59;31,32;59,82;4,86;00:15:00;3,39;3,64;10,44;10,07;11,99;0;7;1;44;58;0;58;0;27,57;14,59;5,54;00:00:00;59,82;00:00:21;00:00:00;00:00:50;00:00:01;00:00:21;00:00:22;00:01:07;00:01:08;
PISANO;757;50;0;58;52;66;4,6;19,67;0;14,58;10,96;70,75;1,07;00:15:14;1,45;1,93;7,61;6,93;8,69;0;1;1;24;17;0;17;2,87;19,22;16,75;4,2;00:00:00;70,75;00:00:08;00:00:00;00:00:28;00:00:00;00:00:08;00:00:11;00:00:45;00:00:43;
RAGATZU;795;53;0;72;66;74;5,18;25,14;0;21,88;19,26;66,28;4,62;00:14:51;2,42;2,75;9,03;8,29;9,34;0;5;4;28;27;0;27;0,28;22,29;16,05;4,62;00:00:00;66,28;00:00:13;00:00:00;00:00:33;00:00:01;00:00:13;00:00:14;00:00:54;00:00:51;
TRAVAGLINI;923;61;5;67;62;92;5,68;21,03;0;21,73;20;63,14;4,91;00:15:13;2,17;2,35;7,23;6,76;10,01;0,51;5;5;29;28;0;28;10,11;22,14;20,04;5,19;00:00:00;63,14;00:00:12;00:00:00;00:00:37;00:00:01;00:00:12;00:00:15;00:00:48;00:00:43;
UDHO;813;54;0;58;52;47;5,02;19,63;0;19,21;14,28;67,69;2,57;00:14:59;1,76;2,36;7,18;6,34;5,81;0;1;2;21;19;0;19;0;15,16;14,56;4,51;00:00:00;67,69;00:00:10;00:00:00;00:00:22;00:00:01;00:00:10;00:00:13;00:00:47;00:00:45;
