;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;1917;73;139;64;63;342;6,22;9,8;40,4;17,06;17,35;56,82;36,28;00:26:13;0,89;0,87;3,31;3,22;17,54;6,96;4,14;2,93;17,86;17,79;1,21;17,79;119,34;28,38;25,81;9,79;00:00:21;56,82;00:00:06;00:00:05;00:01:23;00:00:07;00:00:06;00:00:07;00:00:27;00:00:26;
ARBOLEDA;2274;85;281;108;110;523;7,51;14,21;60,15;36,37;27,9;52,01;81,07;00:26:45;1,23;1,6;4,77;4,85;22,99;12,34;8;9;34;29;1;29;237,91;37,45;30,4;12,06;00:00:44;52,01;00:00:10;00:00:08;00:01:59;00:00:16;00:00:10;00:00:13;00:00:40;00:00:40;
BIANCU;2176;81;173;79;72;395;6,93;10,17;51,57;17,9;14,62;52,94;49,77;00:26:45;0,67;0,82;3,62;3,29;18,14;7,96;2;3;18;25;1;25;144,55;29,83;28,4;11,13;00:00:26;52,94;00:00:05;00:00:06;00:01:36;00:00:09;00:00:05;00:00:07;00:00:31;00:00:28;
BOCCIA;1559;64;0;46;50;174;5,43;9,78;0;11,77;10,8;58,23;6,91;00:24:24;0,69;0,75;2,96;3,23;11,18;0;2;2;14;15;0;15;40,87;20,28;18,54;7,95;00:00:00;58,23;00:00:05;00:00:00;00:00:54;00:00:01;00:00:05;00:00:05;00:00:26;00:00:28;
BRIGNANI;1821;68;10;48;35;170;5,67;7,78;0;12,86;11,39;54,4;5,61;00:26:48;0,63;0,71;2,65;1,93;9,35;0,57;7;0;16;14;0;14;11,06;18;21,67;9,12;00:00:01;54,4;00:00:06;00:00:00;00:00:55;00:00:01;00:00:06;00:00:07;00:00:26;00:00:21;
CHIERICO;2222;82;131;67;70;399;6,95;9,43;30,52;20,51;22,96;47,83;27,44;00:27:04;1,03;0,92;3,02;3,15;17,95;5,9;7;5;13;16;1;16;127,79;28,77;27,53;11,29;00:00:20;47,83;00:00:08;00:00:04;00:01:41;00:00:06;00:00:08;00:00:09;00:00:30;00:00:29;
EMERSON;1523;62;0;53;49;163;5,32;10,28;0;12,18;13,28;61,51;5,46;00:24:24;0,87;0,8;3,47;3,2;10,68;0;2;1;16;18;0;18;52,88;19,81;18,77;7,8;00:00:00;61,51;00:00:07;00:00:00;00:00:52;00:00:01;00:00:07;00:00:07;00:00:31;00:00:29;
LA ROSA ;1644;67;15;41;22;237;5,52;5,88;0;9,05;3,14;60,19;5,75;00:24:24;0,19;0,55;2,46;1,37;14,44;0,9;0;1;12;4;0;4;58,96;24,17;19,94;8,09;00:00:02;60,19;00:00:01;00:00:00;00:01:06;00:00:01;00:00:01;00:00:04;00:00:18;00:00:11;
LELLA ;2248;88;310;82;92;512;7,55;11,45;111,44;29,13;28,33;51,77;81,07;00:25:39;1,26;1,3;3,65;4,11;22,8;13,8;8;9;22;24;3;24;132,43;35,18;30,21;11,63;00:00:46;51,77;00:00:08;00:00:14;00:01:51;00:00:15;00:00:08;00:00:10;00:00:30;00:00:29;
MANCINI;1982;74;116;67;68;339;6,24;9,07;31,29;15,26;12,83;57,49;38,8;00:26:49;0,65;0,77;3,39;3,41;17,12;5,84;2;2;19;21;1;21;141,94;28,07;27,09;10,04;00:00:18;57,49;00:00:05;00:00:04;00:01:23;00:00:08;00:00:05;00:00:05;00:00:24;00:00:27;
PINNA S.;1902;71;212;63;56;384;6;9,42;59,65;16,43;15,79;57,47;47,09;00:26:50;0,83;0,86;3,34;2,95;20,18;11,12;3;1;20;13;1;13;177,82;31,13;28,55;9,66;00:00:32;57,47;00:00:05;00:00:07;00:01:24;00:00:09;00:00:05;00:00:06;00:00:25;00:00:23;
PISANO;1905;70;240;68;80;451;6;10,4;102,34;15,5;28,63;60,47;54,56;00:27:08;1,5;0,81;3,54;4,2;23,69;12,61;8;1;20;24;4;24;156,56;35,22;28,51;9,77;00:00:36;60,47;00:00:09;00:00:13;00:01:39;00:00:10;00:00:09;00:00:06;00:00:26;00:00:29;
RAGATZU;1707;64;171;56;51;326;5,43;9,91;59,51;14,3;14,34;64,03;38,93;00:26:45;0,84;0,84;3,28;2,97;19,08;10,04;3;2;22;15;2;15;103,46;29,63;29,56;8,71;00:00:25;64,03;00:00:06;00:00:07;00:01:16;00:00:07;00:00:06;00:00:06;00:00:25;00:00:22;
TRAVAGLINI;2060;77;175;67;52;357;6,49;9,17;53,89;18,96;16,84;56,27;34,43;00:26:49;0,82;0,92;3,26;2,55;17,35;8,52;1;5;16;14;3;14;105,98;28,06;27,29;10,44;00:00:26;56,27;00:00:07;00:00:07;00:01:25;00:00:07;00:00:07;00:00:08;00:00:30;00:00:23;
UDHO;1820;69;115;52;67;352;5,83;9,99;5,28;8,58;22,05;61,52;31,07;00:26:33;1,21;0,47;2,88;3,71;19,35;6,31;5;0;8;17;0;17;178,55;30,13;24,95;9,3;00:00:18;61,52;00:00:07;00:00:00;00:01:24;00:00:06;00:00:07;00:00:03;00:00:20;00:00:23;
