;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;226;37;22;31;28;66;4,06;42,99;0,31;15,7;13,28;85,72;21,82;00:06:08;5,91;7;13,76;12,55;29,14;9,76;5,24;4,71;10,94;8,76;0;8,76;43,98;53,68;21,8;1,5;00:00:03;85,72;00:00:04;00:00:00;00:00:16;00:00:05;00:00:04;00:00:05;00:00:11;00:00:10;
BIANCU;150;25;0;15;15;29;2,53;31,03;0;7,46;5,81;91;7,47;00:06:00;3,87;4,97;10,11;10,22;19,52;0;1;1;5;5;0;5;14,46;40,32;18,94;0,91;00:00:00;91;00:00:02;00:00:00;00:00:08;00:00:01;00:00:02;00:00:02;00:00:05;00:00:06;
BOCCIA;223;37;32;30;25;70;4,06;41,54;0;15,22;10,07;88,19;23,05;00:06:00;4,52;6,83;13,54;11,41;31,33;14,41;4;3;12;9;0;9;59,46;56,41;21,52;1,46;00:00:05;88,19;00:00:03;00:00:00;00:00:16;00:00:05;00:00:03;00:00:05;00:00:10;00:00:09;
BRIGNANI;199;31;24;28;26;54;3,51;43,94;0;14,81;12,32;88,8;19,43;00:06:19;6,18;7,43;14,1;13,03;27,33;12,23;5;6;9;6;0;6;34,26;52,98;21,38;1,33;00:00:04;88,8;00:00:03;00:00:00;00:00:13;00:00:04;00:00:03;00:00:04;00:00:09;00:00:08;
CHIERICO;148;25;24;20;17;36;2,61;36,94;1,54;8,56;8,1;88,17;16,06;00:06:00;5,48;5,78;13,7;11,34;24,63;16,17;4;2;7;4;0;4;19,88;47,33;24,42;0,94;00:00:03;88,17;00:00:02;00:00:00;00:00:08;00:00:03;00:00:02;00:00:02;00:00:07;00:00:06;
DEMARCUS ;185;31;24;29;26;67;3,65;53,19;0;14,02;16,99;88,31;21,78;00:06:00;9,18;7,58;15,42;14,15;36,25;12,95;7;4;11;7;0;7;41,49;59,21;21,53;1,32;00:00:04;88,31;00:00:05;00:00:00;00:00:16;00:00:05;00:00:05;00:00:04;00:00:10;00:00:09;
EMERSON;224;37;40;34;30;73;4,27;48,17;0;17,4;14,22;87,48;29,75;00:06:00;6,35;7,77;15,39;13,53;32,39;17,98;4;4;11;7;0;7;47,43;59,12;22,68;1,54;00:00:06;87,48;00:00:04;00:00:00;00:00:17;00:00:06;00:00:04;00:00:05;00:00:11;00:00:09;
LA ROSA ;409;60;17;38;37;101;5,98;28,37;0;19,39;13,74;68,82;22,94;00:06:47;3,36;4,74;9,23;9,04;24,79;4,26;5;7;15;14;0;14;69,54;45,66;21,63;2,44;00:00:03;68,82;00:00:05;00:00:00;00:00:25;00:00:05;00:00:05;00:00:07;00:00:14;00:00:14;
LELLA ;303;46;33;40;38;90;5,12;43,43;0;21,59;19,3;83,73;32,11;00:06:35;6,36;7,11;13,03;12,44;29,77;11,04;7;6;15;11;0;11;65,12;54,39;23,11;2,02;00:00:05;83,73;00:00:05;00:00:00;00:00:21;00:00:07;00:00:05;00:00:07;00:00:12;00:00:12;
MANCINI;200;33;26;33;27;72;3,7;46,77;0;15,68;13,64;85,06;20,6;00:06:07;6,83;7,85;16,7;13,55;36,23;13,26;7;5;13;10;0;10;41,37;61,9;21,32;1,36;00:00:04;85,06;00:00:05;00:00:00;00:00:18;00:00:05;00:00:05;00:00:06;00:00:12;00:00:10;
OCCHIONI;227;38;19;33;36;72;4,32;47,87;0;17,92;16,95;87,12;23,81;00:06:00;7,48;7,9;14,61;15,72;31,72;8,48;9;6;13;14;0;14;55,28;57,51;21,9;1,56;00:00:03;87,12;00:00:06;00:00:00;00:00:18;00:00:05;00:00:06;00:00:06;00:00:12;00:00:13;
PALESI;240;40;40;45;43;108;4,86;57,43;0;18,28;22,75;83,74;27,05;00:06:00;9,48;7,61;18,66;17,74;44,99;16,79;7;2;14;13;0;13;67,34;68,8;22,38;1,76;00:00:06;83,74;00:00:07;00:00:00;00:00:27;00:00:06;00:00:07;00:00:06;00:00:16;00:00:16;
PINNA S.;339;56;49;44;46;102;6,34;45,13;3,75;26,15;20,76;74,63;33,36;00:06:00;6,12;7,71;13,05;13,46;30,13;14,58;6;8;14;13;0;13;47,36;55,41;25,45;2,29;00:00:08;74,63;00:00:06;00:00:00;00:00:24;00:00:07;00:00:06;00:00:08;00:00:15;00:00:15;
PISANO;221;36;0;25;22;47;3,79;36,71;0;13,75;8,42;84,65;14,4;00:06:10;3,81;6,22;11,38;9,79;21,23;0;5;6;10;8;0;8;30,16;45,75;18,66;1,4;00:00:00;84,65;00:00:03;00:00:00;00:00:13;00:00:03;00:00:03;00:00:05;00:00:10;00:00:09;
RAGATZU;176;29;8;33;28;58;3,46;56,15;0;19,02;8,65;89,44;23,14;00:06:08;4,92;10,83;19,01;15,78;32,79;4,56;3;8;11;9;0;9;46,11;63,75;21,4;1,27;00:00:01;89,44;00:00:03;00:00:00;00:00:15;00:00:05;00:00:03;00:00:06;00:00:12;00:00:10;
RENAULT ;233;37;19;31;28;58;4,07;40,66;0;15,74;15,37;88,83;22,68;00:06:13;6,61;6,77;13,4;12,09;24,93;8,07;7;5;12;9;0;9;37,59;49,52;22,25;1,52;00:00:03;88,83;00:00:05;00:00:00;00:00:14;00:00:05;00:00:05;00:00:05;00:00:10;00:00:09;
TRAVAGLINI;180;30;10;21;19;43;3,16;36,4;0;9,8;7,67;91,19;16,05;00:06:00;4,26;5,44;11,42;10,34;24,13;5,64;3;2;7;4;0;4;39,1;47,89;20,92;1,14;00:00:01;91,19;00:00:02;00:00:00;00:00:11;00:00:03;00:00:02;00:00:03;00:00:07;00:00:07;
