;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;2201;125;138;136;141;614;11,56;19,15;14,98;37,65;46,81;29,04;59,65;00:17:33;2,13;1,72;6,21;6,41;27,71;6,27;11,15;6,46;37,62;44,46;0,23;44,46;234,23;44,71;26,02;12,18;00:00:22;29,04;00:00:17;00:00:02;00:02:42;00:00:13;00:00:17;00:00:14;00:00:53;00:00:55;
BIANCU;2076;118;127;139;137;518;10,93;20;9,6;36,68;49,37;30,61;76,71;00:17:38;2,38;1,77;6,71;6,62;24,94;6,12;14;8;29;40;0;40;208,65;42,4;25,31;11,57;00:00:20;30,61;00:00:17;00:00:01;00:02:18;00:00:17;00:00:17;00:00:12;00:00:49;00:00:51;
BOCCIA;2266;132;138;142;155;672;12,19;19,38;26,96;36,83;52,37;25,98;60,43;00:17:10;2,31;1,63;6,25;6,86;29,66;6,1;15;6;41;61;0;61;171,42;46,86;28,34;12,56;00:00:21;25,98;00:00:20;00:00:03;00:02:59;00:00:12;00:00:20;00:00:14;00:00:56;00:01:03;
BRIGNANI;2176;123;134;116;133;614;11,33;18,69;10,84;32,84;48,85;29,75;43,45;00:17:38;2,24;1,51;5,31;6,09;28,21;6,14;15;7;34;43;0;43;196,75;43,86;26,01;12;00:00:21;29,75;00:00:18;00:00:01;00:02:43;00:00:09;00:00:18;00:00:14;00:00:49;00:00:51;
EMERSON;2065;116;126;140;142;544;10,84;20,39;19,84;41,22;42,98;33,44;63,18;00:17:44;2,08;2;6,78;6,87;26,33;6,09;9;10;47;52;0;52;184,97;44,11;26,19;11,55;00:00:20;33,44;00:00:15;00:00:02;00:02:26;00:00:14;00:00:15;00:00:16;00:00:56;00:00:53;
LA ROSA ;2358;134;144;124;126;700;11,97;15,73;0;32,54;33,18;27,21;42,68;00:17:38;1,41;1,38;5,26;5,35;29,7;6,1;4;2;37;43;0;43;305,42;45,71;22,63;12,67;00:00:24;27,21;00:00:14;00:00:00;00:03:02;00:00:09;00:00:14;00:00:12;00:00:50;00:00:52;
LELLA ;2211;127;218;180;170;673;12,23;24,59;47,37;60,88;61,81;29,17;106,57;00:17:26;2,8;2,75;8,12;7,7;30,44;9,86;21;14;47;61;2;61;251,76;49,66;29,37;12,79;00:00:34;29,17;00:00:23;00:00:06;00:02:52;00:00:24;00:00:23;00:00:23;00:01:06;00:01:05;
PALESI;2209;125;137;135;141;618;11,54;19,09;14,89;36,48;48,61;31,19;52,99;00:17:38;2,2;1,65;6,1;6,38;27,99;6,19;10;3;32;43;0;43;237,68;44,98;26,05;12,22;00:00:22;31,19;00:00:18;00:00:02;00:02:45;00:00:12;00:00:18;00:00:15;00:00:56;00:00:57;
PINNA S.;2281;130;81;142;163;623;12,04;19,96;10,28;39,07;54,12;25,8;50,92;00:17:35;2,37;1,71;6,24;7,15;27,32;3,56;14;6;38;56;0;56;193,31;44,94;26,64;12,71;00:00:13;25,8;00:00:21;00:00:01;00:02:53;00:00:11;00:00:21;00:00:15;00:00:55;00:01:05;
PISANO;2017;117;151;106;97;485;10,39;14,92;0;26,91;29,03;31,19;51,89;00:17:16;1,44;1,33;5,27;4,81;24,04;7,47;10;7;30;29;0;29;217,03;39,23;23,62;10,77;00:00:25;31,19;00:00:11;00:00:00;00:02:03;00:00:11;00:00:11;00:00:10;00:00:40;00:00:39;
RAGATZU;2088;115;178;138;135;592;10,55;19,04;18,73;39,57;40,62;36;69,03;00:18:14;1,95;1,89;6,63;6,47;28,35;8,51;8;7;37;36;0;36;273,55;45,66;26,47;11,54;00:00:29;36;00:00:15;00:00:02;00:02:29;00:00:15;00:00:15;00:00:15;00:00:53;00:00:53;
RENAULT ;2591;149;211;160;173;893;13,77;19,07;27,3;34,42;55,47;21,11;61,14;00:17:20;2,14;1,33;6,18;6,67;34,46;8,15;13;6;46;53;1;53;429,65;51,57;27,04;14,33;00:00:34;21,11;00:00:20;00:00:03;00:03:43;00:00:13;00:00:20;00:00:14;00:01:00;00:01:05;
TRAVAGLINI;2289;129;47;122;131;572;11,83;18,14;2,38;39,64;43,33;23,46;45,64;00:17:42;1,89;1,73;5,31;5,71;24,98;2,07;6;6;36;31;0;31;174,96;41,85;24,34;12,56;00:00:07;23,46;00:00:17;00:00:00;00:02:40;00:00:11;00:00:17;00:00:15;00:00:48;00:00:52;
UDHO;1988;116;101;130;133;473;10,73;20;6,53;32,41;48,73;32,24;50,81;00:17:12;2,45;1,63;6,56;6,7;23,77;5,09;6;2;35;30;0;30;199,85;40,45;26,3;11,08;00:00:16;32,24;00:00:17;00:00:00;00:02:10;00:00:11;00:00:17;00:00:12;00:00:50;00:00:52;
