;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;959;78;66;59;53;251;7,03;17,24;3,89;19,58;16,79;58,39;18,97;00:12:22;1,77;2,05;6,16;5,56;26,04;6,96;4,21;4,29;20,36;18,14;0,07;18,14;124,55;41,4;23,77;5,22;00:00:10;58,39;00:00:07;00:00:00;00:01:05;00:00:04;00:00:07;00:00:09;00:00:27;00:00:24;
BIANCU;1035;84;72;51;46;260;7,39;14,13;9,13;8,26;13,9;55,8;14,46;00:12:22;1,34;0,8;4,93;4,48;25,09;6,95;6;0;13;11;0;11;140,86;38,02;25,41;5,48;00:00:11;55,8;00:00:06;00:00:01;00:01:05;00:00:02;00:00:06;00:00:05;00:00:25;00:00:21;
BOCCIA;815;66;42;51;47;223;6;17,65;0;21,55;14,37;65,65;15,42;00:12:22;1,76;2,64;6,22;5,72;27,36;5,17;3;7;21;15;0;15;152,17;43,84;21,16;4,45;00:00:07;65,65;00:00:05;00:00:00;00:00:56;00:00:04;00:00:05;00:00:09;00:00:23;00:00:20;
BRIGNANI;936;76;100;55;45;242;6,77;15,6;0;18,32;13,22;58,41;20,26;00:12:22;1,41;1,96;5,93;4,79;25,86;10,63;3;5;15;13;0;13;131,88;40,24;23,89;5,02;00:00:16;58,41;00:00:05;00:00:00;00:00:58;00:00:04;00:00:05;00:00:08;00:00:26;00:00:20;
CHIERICO;1070;87;17;62;59;267;7,83;16,91;0;20,82;21,86;51,36;12,18;00:12:22;2,04;1,95;5,77;5,48;24,99;1,55;7;1;22;24;0;24;138,88;39,87;20,68;5,81;00:00:02;51,36;00:00:09;00:00:00;00:01:13;00:00:03;00:00:09;00:00:10;00:00:30;00:00:26;
DEMARCUS ;884;71;44;50;33;177;6,25;13,04;0;13,57;6,38;58,31;11,24;00:12:22;0,72;1,53;5,65;3,72;20;5;2;5;14;10;0;10;80,23;33,91;22,68;4,64;00:00:07;58,31;00:00:03;00:00:00;00:00:48;00:00:02;00:00:03;00:00:06;00:00:24;00:00:17;
EMERSON;996;81;88;49;47;285;7,06;13,32;0;12,6;13,31;59,78;10,44;00:12:22;1,34;1,26;4,95;4,74;28,56;8,82;3;3;20;13;0;13;143,65;41,55;23,14;5,24;00:00:14;59,78;00:00:05;00:00:00;00:01:09;00:00:02;00:00:05;00:00:06;00:00:25;00:00:22;
LA ROSA ;860;70;47;72;67;223;6,61;22,82;0,28;22,8;25,79;62,71;20,56;00:12:22;3;2,65;8,42;7,83;25,92;5,41;5;7;28;25;0;25;56,69;43,43;24,03;4,91;00:00:07;62,71;00:00:11;00:00:00;00:01:01;00:00:05;00:00:11;00:00:10;00:00:32;00:00:32;
LELLA ;1192;96;81;70;70;343;8,76;17,54;18,39;29,4;19,28;48,52;24,39;00:12:22;1,62;2,47;5,84;5,9;28,8;6,77;3;5;23;23;1;23;188,33;45,36;25,74;6,5;00:00:13;48,52;00:00:08;00:00:02;00:01:28;00:00:06;00:00:08;00:00:13;00:00:30;00:00:29;
MANCINI;1017;82;69;59;48;307;7,47;17,32;3,7;20,05;16,01;61,92;28,8;00:12:22;1,57;1,97;5,84;4,75;30,19;6,81;2;4;16;17;0;17;232,71;47,26;24,87;5,54;00:00:11;61,92;00:00:06;00:00:00;00:01:14;00:00:07;00:00:06;00:00:09;00:00:26;00:00:22;
OCCHIONI;961;78;107;68;60;228;7,18;19,41;12,36;26,76;18,09;56,46;35,43;00:12:22;1,88;2,78;7,13;6,19;23,72;11,14;6;8;28;21;0;21;65,74;40,4;25,79;5,33;00:00:17;56,46;00:00:08;00:00:01;00:00:59;00:00:07;00:00:08;00:00:11;00:00:30;00:00:25;
PALESI;822;66;134;64;56;264;6,3;22,45;4,65;24,18;25,15;65,58;27,44;00:12:22;3,06;2,94;7,73;6,8;32,11;16,33;6;8;25;21;0;21;106,65;48,7;26,43;4,67;00:00:22;65,58;00:00:09;00:00:00;00:01:04;00:00:06;00:00:09;00:00:10;00:00:26;00:00:23;
PINNA S.;1112;90;74;73;69;329;8,24;18,38;5,95;25,78;18,28;51,34;21,5;00:12:22;1,64;2,32;6,54;6,2;29,55;6,63;6;3;30;24;0;24;180,08;46,1;25,21;6,11;00:00:12;51,34;00:00:08;00:00:00;00:01:26;00:00:05;00:00:08;00:00:13;00:00:35;00:00:32;
RENAULT ;809;65;35;50;41;184;5,84;15,28;0;14,08;12,06;63,96;12,33;00:12:22;1,49;1,74;6,13;5,05;22,73;4,31;2;3;13;17;0;17;79,67;36,91;22,04;4,33;00:00:05;63,96;00:00:05;00:00:00;00:00:51;00:00:03;00:00:05;00:00:07;00:00:25;00:00:21;
TRAVAGLINI;923;75;17;47;57;182;6,79;17,53;0;15,93;17,32;57,71;11,07;00:12:22;1,88;1,73;5,12;6,21;19,74;1,89;5;1;17;20;0;20;46,15;33,97;21,68;5,04;00:00:02;57,71;00:00:08;00:00:00;00:00:54;00:00:03;00:00:08;00:00:07;00:00:24;00:00:27;
