;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;651;50;46;45;42;146;4,62;19,93;2,76;14,67;17,92;72,92;25,74;00:13:07;2,7;2,21;6,86;6,35;22,19;6,91;5,92;2,92;14,77;11,77;0;11,77;75,42;38,97;23,6;3,64;00:00:07;72,92;00:00:06;00:00:00;00:00:36;00:00:05;00:00:06;00:00:05;00:00:17;00:00:15;
ARBOLEDA;701;58;55;50;53;170;5,56;24,5;0;18,96;22,81;66,11;31,38;00:12:08;3,26;2,71;7,18;7,55;24,27;7,87;7;5;16;13;0;13;83,15;43;23,26;4,05;00:00:09;66,11;00:00:07;00:00:00;00:00:41;00:00:07;00:00:07;00:00:06;00:00:17;00:00:19;
BRIGNANI;869;60;82;61;61;202;5,62;20,64;4,64;16,42;28,92;65,96;48,01;00:14:26;3,33;1,89;7,03;7,04;23,29;9,47;10;3;18;17;0;17;122,1;40,27;24,53;4,87;00:00:13;65,96;00:00:08;00:00:00;00:00:47;00:00:10;00:00:08;00:00:05;00:00:19;00:00:18;
CHIERICO;728;45;48;43;39;182;4,13;17,84;0;11,35;18,32;76,45;15,45;00:16:03;2,52;1,56;5,84;5,37;25,01;6,63;9;1;13;13;0;13;104,41;41,17;23,04;3,98;00:00:08;76,45;00:00:07;00:00:00;00:00:47;00:00:03;00:00:07;00:00:04;00:00:16;00:00:15;
EMERSON;648;49;30;42;31;144;4,45;17,7;0;16,38;12,04;74,56;17,87;00:13:15;1,86;2,53;6,5;4,86;22,25;4,69;5;2;17;9;0;9;66,99;38,94;22,43;3,54;00:00:05;74,56;00:00:04;00:00:00;00:00:38;00:00:04;00:00:04;00:00:06;00:00:17;00:00:13;
GIANDONATO;532;37;0;25;23;75;3,2;12,1;0;5,52;8,29;78,34;3,77;00:14:26;1,56;1,04;4,78;4,26;14,08;0;4;0;8;8;0;8;19,72;25,73;18,83;2,77;00:00:00;78,34;00:00:04;00:00:00;00:00:22;00:00:00;00:00:04;00:00:02;00:00:12;00:00:11;
LADINETTI;671;46;50;37;40;123;4,21;17,08;10,65;14,18;16,27;74,42;24,9;00:14:26;2,42;2,11;5,53;5,89;18,37;7,38;4;5;13;11;0;11;68,36;33,42;25,68;3,65;00:00:08;74,42;00:00:05;00:00:01;00:00:30;00:00:05;00:00:05;00:00:05;00:00:15;00:00:15;
LELLA ;578;52;79;56;53;164;5,19;27,76;3,38;19,14;25,74;74,84;33,78;00:11:01;4,45;3,31;9,61;9,12;28,37;13,68;5;1;17;13;0;13;73,87;48,3;24,64;3,43;00:00:13;74,84;00:00:08;00:00:00;00:00:40;00:00:07;00:00:08;00:00:07;00:00:19;00:00:17;
MANCINI;527;50;47;32;28;128;4,47;16,51;0;10,74;9,56;72,54;19,14;00:10:38;1,81;2,04;6;5,34;24,34;8,95;3;2;10;8;0;8;83,74;41,09;22,69;2,85;00:00:08;72,54;00:00:03;00:00:00;00:00:31;00:00:04;00:00:03;00:00:03;00:00:11;00:00:09;
PINNA S.;809;60;51;70;65;200;5,72;23,46;8,93;22,22;25,67;66,13;40,42;00:13:31;3,17;2,75;8,7;8,03;24,66;6,27;10;5;22;19;0;19;100,19;43,41;26,38;4,64;00:00:08;66,13;00:00:08;00:00:01;00:00:50;00:00:08;00:00:08;00:00:07;00:00:25;00:00:23;
PISANO;586;52;53;39;39;145;4,73;18,01;1,11;10,79;14,01;74,21;21,03;00:11:19;2,39;1,84;6,73;6,67;24,7;9,12;4;3;15;10;0;10;98,88;40,74;24,08;3,21;00:00:08;74,21;00:00:04;00:00:00;00:00:34;00:00:04;00:00:04;00:00:04;00:00:14;00:00:13;
RAGATZU;620;43;56;49;39;131;4,08;22,9;7,15;13,85;20,83;75,43;32,59;00:14:26;3,36;2,24;7,92;6,37;21,12;8,98;7;5;14;10;0;10;44,07;38,6;25,9;3,54;00:00:08;75,43;00:00:07;00:00:00;00:00:32;00:00:06;00:00:07;00:00:05;00:00:19;00:00:15;
TRAVAGLINI;640;48;23;32;33;113;4,38;16,74;0;12,45;15,48;72,38;17,41;00:13:13;2,42;1,94;5,03;5,18;17,66;3,53;5;2;14;11;0;11;55,66;32,46;22,17;3,47;00:00:03;72,38;00:00:05;00:00:00;00:00:29;00:00:04;00:00:05;00:00:04;00:00:14;00:00:13;
UDHO;556;47;29;51;44;127;4,62;26,36;0;18,75;15,04;75,99;28,86;00:11:46;2,7;3,37;9,24;7,86;22,78;5,29;4;4;15;11;0;11;59,31;43,61;23,11;3,26;00:00:05;75,99;00:00:06;00:00:00;00:00:34;00:00:06;00:00:06;00:00:06;00:00:19;00:00:17;
