;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;8504;111;511;392;389;1985;9,82;14,59;91,73;113,45;140,62;34,58;201,33;01:16:49;1,65;1,34;4,61;4,57;23,22;5,97;35,92;21,33;100,75;112;2,25;112;715,59;37,66;29,38;45,26;00:01:21;34,58;00:00:51;00:00:12;00:08:32;00:00:43;00:00:51;00:00:45;00:02:36;00:02:33;
BIANCU;8683;117;543;440;425;2065;10,45;15,77;93,34;124,91;142,37;32,34;255,54;01:14:27;1,64;1,44;5,07;4,9;23,78;6,25;35;20;98;107;3;107;751,14;39,61;30,51;46,69;00:01:27;32,34;00:00:51;00:00:12;00:08:56;00:00:54;00:00:51;00:00:48;00:02:44;00:02:38;
BOCCIA;8152;109;558;435;398;1906;9,82;16,21;159,48;135,01;143,27;36,97;252,48;01:14:40;1,76;1,66;5,34;4,88;23,38;6,85;40;34;124;114;3;114;647,98;38,49;31,98;43,99;00:01:27;36,97;00:00:52;00:00:20;00:08:14;00:00:53;00:00:52;00:00:55;00:03:00;00:02:42;
BRIGNANI;10005;103;482;389;401;2141;9,02;13,05;100,85;111,45;150,54;36,97;185,84;01:37:02;1,5;1,11;3,89;4,01;21,4;4,82;43;21;97;133;3;133;694,22;34,65;29,57;52,53;00:01:15;36,97;00:00:55;00:00:13;00:09:19;00:00:40;00:00:55;00:00:46;00:02:46;00:02:45;
LA ROSA ;11249;116;426;434;404;2567;10,04;11,77;35,75;123,67;118,03;31,35;161,69;01:36:53;1,05;1,1;3,85;3,6;22,82;3,78;22;26;103;121;0;121;919,98;36,67;25,95;58,39;00:01:09;31,35;00:00:48;00:00:05;00:11:23;00:00:38;00:00:48;00:00:52;00:03:00;00:02:50;
LELLA ;11605;120;791;550;585;3103;10,78;16,49;100,48;171,21;224,3;32,3;296,18;01:37:02;1,93;1,48;4,74;5,04;26,74;6,81;64;23;150;176;3;176;1173,89;42,16;29,63;62,78;00:02:08;32,3;00:01:21;00:00:13;00:13:12;00:01:06;00:01:21;00:01:08;00:03:38;00:03:45;
MANCINI;6667;109;325;348;342;1505;9,8;16,06;68,17;99,57;139,31;34,78;161,11;01:01:07;2,09;1,49;5,22;5,13;22,58;4,87;40;25;90;101;1;101;472,66;37,66;28,67;35,94;00:00:51;34,78;00:00:49;00:00:09;00:06:42;00:00:36;00:00:49;00:00:38;00:02:14;00:02:12;
PINNA S.;11094;114;832;443;479;2634;10,01;13,14;128,14;114,88;163,21;30,91;242,49;01:37:02;1,47;1,04;3,99;4,32;23,75;7,5;44;19;96;133;3;133;879,52;37,34;29,46;58,29;00:02:13;30,91;00:00:57;00:00:17;00:11:04;00:00:50;00:00:57;00:00:45;00:02:47;00:03:01;
PISANO;7372;109;421;278;288;1467;9,46;11,77;97,4;79,61;99,42;33,29;142,16;01:07:24;1,35;1,08;3,77;3,91;19,9;5,71;26;20;82;82;3;82;536,32;32,19;30,53;38,26;00:01:06;33,29;00:00:38;00:00:12;00:06:14;00:00:30;00:00:38;00:00:31;00:01:54;00:02:00;
RAGATZU;10135;104;534;435;444;2140;9,16;13,3;91,14;127,27;153,09;35,61;242,17;01:37:02;1,51;1,26;4,29;4,38;21,11;5,27;36;27;122;127;1;127;850,83;34,9;26,94;53,33;00:01:25;35,61;00:00:54;00:00:12;00:09:12;00:00:52;00:00:54;00:00:48;00:02:48;00:02:54;
RENAULT ;3292;127;412;195;206;1177;11,81;19,66;79,13;47,41;86,81;33,42;94,72;00:25:49;2,64;1,44;5,93;6,25;35,74;12,51;27;7;57;71;3;71;587,54;51,84;27,31;18,3;00:01:05;33,42;00:00:32;00:00:10;00:04:37;00:00:20;00:00:32;00:00:20;00:01:19;00:01:18;
TRAVAGLINI;10101;104;496;521;469;2174;9,29;15,31;92,94;156,54;173,37;38,11;232,5;01:36:59;1,72;1,55;5,16;4,64;21,52;4,91;32;23;123;119;3;119;715,68;36,43;32,03;54,09;00:01:18;38,11;00:01:04;00:00:12;00:09:39;00:00:52;00:01:04;00:01:02;00:03:31;00:03:10;
UDHO;3691;102;316;238;225;939;9,42;19,86;53,97;69,88;93,77;43,17;149,04;00:36:21;2,54;1,89;6,46;6,09;25,45;8,56;22;11;67;60;1;60;357,37;42,26;30,01;20,54;00:00:50;43,17;00:00:32;00:00:07;00:03:58;00:00:31;00:00:32;00:00:26;00:01:28;00:01:22;
