;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;9689;103;783;523;514;2386;9,32;16,99;181;158,89;175,98;41,14;290,05;01:34:09;1,82;1,64;5,4;5,31;24,64;8,09;38,2;26,4;125,01;138,41;3,6;138,41;860,46;40,05;30,53;52,63;00:02:03;41,14;00:01:05;00:00:24;00:10:09;00:01:01;00:01:05;00:01:01;00:03:31;00:03:25;
ARBOLEDA;9597;102;838;609;616;2613;9,49;20,3;180,63;206,79;222,24;43,03;329,82;01:34:09;2,32;2,15;6,34;6,42;27,23;8,73;48;39;155;173;4;173;977,94;44,14;32,51;53,61;00:02:12;43,03;00:01:21;00:00:24;00:11:07;00:01:13;00:01:21;00:01:19;00:04:05;00:04:05;
BIANCU;9849;105;537;463;437;2163;9,3;14,91;111,41;134,5;139,79;39,56;250,66;01:34:08;1,42;1,37;4,71;4,44;21,96;5,45;36;28;90;106;2;106;756,53;36,76;28,37;52,56;00:01:25;39,56;00:00:48;00:00:15;00:09:24;00:00:53;00:00:48;00:00:48;00:02:57;00:02:45;
BOCCIA;9844;105;760;550;541;2537;9,5;17,4;227,24;150,53;189,14;41,88;260,45;01:34:09;1,92;1,53;5,58;5,5;25,77;7,72;48;25;136;172;4;172;808,91;40,89;30,56;53,67;00:01:57;41,88;00:01:15;00:00:29;00:11:03;00:00:54;00:01:15;00:01:04;00:04:05;00:03:53;
RAGATZU;9745;104;1022;479;493;2327;9,26;15,62;248,71;146,99;170,52;38,19;355,06;01:34:08;1,75;1,51;4,92;5,06;23,88;10,49;37;27;134;134;5;134;877,67;38,93;29,66;52,32;00:02:40;38,19;00:01:01;00:00:33;00:09:22;00:01:11;00:01:01;00:00:53;00:02:58;00:03:04;
TRAVAGLINI;9407;100;756;513;484;2290;9,02;16,7;136,93;155,58;158,15;43,02;254,18;01:34:09;1,68;1,65;5,45;5,14;24,34;8,04;22;13;110;107;3;107;880,94;39,51;31,56;50,98;00:02:00;43,02;00:00:59;00:00:18;00:09:47;00:00:53;00:00:59;00:01:00;00:03:30;00:03:19;
