;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);EEE;T_SHI;%T_Recovery;T_A1;T_S6;T_MPHI;T_MP5;T_A1;T_A8;T_AccHI;T_DecHI;
Team Average;5221;103;378;261;256;1256;9,25;15,74;92,7;74,72;93,82;40,19;145,04;00:50:32;1,76;1,44;5,03;4,89;23,8;7,09;22,3;11,5;61,4;68,3;2,1;68,3;456,54;38,8;29,04;28,06;00:00:59;40,19;00:00:33;00:00:12;00:05:20;00:00:30;00:00:33;00:00:29;00:01:42;00:01:39;
BIANCU;8549;103;603;381;391;1827;9,14;14,57;175,77;118,48;135,28;38,03;245,17;01:22:54;1,58;1,39;4,46;4,57;21,38;7,05;26;26;96;100;4;100;692,5;35,63;29,4;45,48;00:01:34;38,03;00:00:48;00:00:23;00:07:41;00:00:50;00:00:48;00:00:44;00:02:27;00:02:28;
GIANDONATO;1156;31;81;61;52;267;2,76;15,13;1,25;16,07;9,79;85,31;37,11;00:37:17;0,85;1,39;5,31;4,52;23,09;6,98;0;3;12;8;0;8;165,95;38,49;24,26;6,18;00:00:13;85,31;00:00:03;00:00:00;00:01:04;00:00:08;00:00:03;00:00:06;00:00:24;00:00:22;
LELLA ;9510;107;517;490;473;2206;9,6;15,93;127,66;141,29;186,99;37,56;244,37;01:28:55;1,97;1,49;5,16;4,98;23,2;5,43;53;22;122;147;3;147;770,61;38,14;30,19;51,2;00:01:21;37,56;00:01:09;00:00:16;00:09:41;00:00:53;00:01:09;00:00:55;00:03:18;00:03:10;
MANCINI;1226;141;186;63;68;399;12,63;16,17;21,16;15,05;20,66;25,6;45,77;00:08:43;1,69;1,23;5,16;5,55;32,53;15,15;8;1;15;16;0;16;165,55;47,81;25,79;6,61;00:00:29;25,6;00:00:08;00:00:02;00:01:32;00:00:09;00:00:08;00:00:06;00:00:23;00:00:24;
PALESI;2193;117;221;128;119;557;10,52;15,88;58,59;29,36;35,56;34,21;73,09;00:18:41;1,62;1,34;5,83;5,41;25,39;10,06;10;5;30;34;2;34;168,32;40,82;30,78;11,8;00:00:34;34,21;00:00:12;00:00:07;00:02:19;00:00:14;00:00:12;00:00:11;00:00:47;00:00:46;
PINNA S.;1221;147;138;36;41;391;12,45;9,5;23,11;10,17;9,42;25,57;16,77;00:08:18;0,77;0,83;2,98;3,33;31,99;11,28;2;3;9;11;1;11;247,25;44,32;28,71;6,21;00:00:22;25,57;00:00:03;00:00:02;00:01:29;00:00:03;00:00:03;00:00:04;00:00:14;00:00:16;
PISANO;8264;109;479;381;393;1845;9,71;14,96;59,74;101,55;131,51;35,06;180,55;01:15:44;1,59;1,23;4,61;4,76;22,32;5,8;38;13;90;107;0;107;572,28;36,97;28,06;44,12;00:01:17;35,06;00:00:49;00:00:08;00:08:12;00:00:39;00:00:49;00:00:41;00:02:36;00:02:37;
RENAULT ;2600;130;351;154;157;863;11,99;19,12;150,66;46,26;59,81;30,36;100,08;00:19:59;2,3;1,78;5,92;6,02;33,2;13,5;15;7;38;46;5;46;304,63;49,87;29,59;14,38;00:00:52;30,36;00:00:21;00:00:19;00:03:22;00:00:20;00:00:21;00:00:17;00:00:58;00:00:55;
TRAVAGLINI;8814;116;614;432;403;2185;10,32;14,77;128,82;121,55;139,63;31,81;211,57;01:15:50;1,58;1,38;4,9;4,57;24,78;6,96;27;10;86;94;3;94;786,45;39,81;31,24;46,98;00:01:37;31,81;00:00:53;00:00:16;00:09:22;00:00:45;00:00:53;00:00:48;00:02:50;00:02:38;
UDHO;8674;98;590;486;465;2022;8,92;18,16;180,29;147,42;209,49;43,69;295,96;01:28:54;2,42;1,7;5,6;5,37;23,31;6,8;44;25;116;120;3;120;691,83;38,95;32,4;47,6;00:01:31;43,69;00:01:07;00:00:23;00:08:35;00:01:01;00:01:07;00:00:55;00:03:06;00:02:54;
