;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;5011;104;260;210;215;1099;9,18;13,4;48,28;59,06;74,76;38,2;99,56;00:47:57;1,47;1,16;4,17;4,27;21,71;5,1;20,25;8;50,25;61,25;1,25;61,25;411,53;34,95;27,57;
BRIGNANI;4813;100;256;211;197;1036;8,8;13,27;57,59;55,23;65,92;40,46;109,48;00:47:57;1,37;1,15;4,38;4,09;21,52;5,31;18;7;54;53;1;53;365,1;35,06;28,09;
CHIERICO;5690;119;365;233;250;1417;10,43;13,63;48,79;67,29;102,38;29,14;120,29;00:47:57;1,8;1,18;4,09;4,39;24,9;6,41;33;9;58;85;1;85;542,52;38,51;27,97;
EMERSON;4434;92;142;148;165;787;7,97;11,33;0;32,55;51,2;44,22;35,88;00:47:57;1,15;0,73;3,34;3,72;17,75;3,21;14;5;39;50;0;50;288,59;28,81;23,93;
TRAVAGLINI;5107;106;279;248;249;1158;9,51;15,37;86,74;81,17;79,54;38,95;132,59;00:47:57;1,56;1,59;4,85;4,88;22,68;5,46;16;11;50;57;3;57;449,9;37,41;30,29;
